ASV	Multi_taxID_entry	USED
ASV_1002	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_10079	1606541, 1411661, 722754;1714387	FALSE
ASV_10146	1905723, 1905723;2315413, 89963, 2968077, 142110, 1918384, 2699462, 262427, 1003175, 107757	FALSE
ASV_10313	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_10342	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_10397	1905723, 1905723;2315413, 89963, 2968077, 407301, 1918384, 262427, 107757	FALSE
ASV_10401	1311521, 516040;1131439	FALSE
ASV_1044	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_10464	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1342565, 145470, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_10525	143670, 2661866, 2081639, 2528240, 89963, 1806893, 1695222, 2081638, 244960, 1918384, 71861, 1652117, 1764948, 1764946, 1764947, 1764957, 60595, 2925154, 2661873, 1655529, 1641596, 2982930, 2591690, 1691973, 2735798, 1239451, 1225972, 631048, 160611, 858356, 425808, 427755, 160610, 284798;284799;284802, 244961	FALSE
ASV_10585	1446920, 670440;1446917;2606889, 1446909	FALSE
ASV_10676	1905833, 236787, 464225, 1606603, 1606602, 236787;1411684, 2811676	FALSE
ASV_10864	1695222, 3129261, 143670, 71861, 1652117, 1886619, 1655529, 1691973, 1239451, 2684371, 2684370, 2684369, 631048, 160611, 858356, 160612, 284798;284799;284802, 66473	FALSE
ASV_10950	72677, 1764082, 237470, 2945, 1226012, 39449, 2496629, 2364126, 3129261, 3075827, 1905723, 1886619, 71860, 1764932, 237471, 237471;1905723, 1290334	FALSE
ASV_10987	156133, 284976;284978;284979;284980;284981;284982	FALSE
ASV_11001	1000413, 1895587, 57656, 291216, 47963, 66201, 291221, 1895586, 171206, 198924, 171881, 1642853, 55513, 175006, 171210, 948960, 168562, 2972751, 168561, 873093, 291221;1779277, 171209, 168559;1779280, 290844, 290843, 171216, 934066, 355900, 291223, 66206, 1287646, 47965, 873089, 392741, 873090, 47966, 99155, 171221, 290842, 873086, 134797, 873092, 57653, 134799, 47968, 171204, 168570, 4023, 171213, 66205, 1008898, 1895641, 1603687, 1008897, 2291095, 4026, 128017, 531822, 290840, 2810071, 168573, 171219, 291215, 171217, 171202, 47967, 369786, 291217, 703915, 886263, 291213, 291207, 407037, 369785, 75745, 66215, 45314, 349748, 2808947, 4025, 355897, 66214, 392739, 1954353, 168567, 269405, 66213, 168566, 66212, 66211, 1779279, 171212, 290838, 2499985, 75744, 66210, 66209, 66208, 134796, 66207, 171207, 134795, 1779280, 290841, 384957, 151047, 43851, 4016	FALSE
ASV_11104	1905723, 1905723;2315413, 2968077, 1641588, 1918384, 2699462, 35672, 160603	FALSE
ASV_11208	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_11220	1486432;1486433, 1486436, 2575364	FALSE
ASV_11263	1311521, 516040;1131439	FALSE
ASV_113	407301, 89963, 1695222, 3129261, 143670, 241424, 71861, 1652117, 1886619, 1655529, 298604, 1918384, 1691973, 1239451, 2684371, 2684370, 2684369, 631048, 160611, 387435, 858356, 200894, 160612, 284798;284799;284802, 66473, 60595	FALSE
ASV_11314	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_11354	163663;238910	TRUE
ASV_11401	1524186, 1304840, 549348, 549345;1516112, 549349, 549347, 549346	FALSE
ASV_11709	1905723, 1905723;2315413, 2968077	FALSE
ASV_11807	2737751, 2737750, 2737749, 2592178, 2592177, 2592175;2592176, 2592174, 2592173, 2301934, 2301933, 2301932, 2301931, 2041805, 1764901, 1764895, 1764875, 1764892, 1764861, 1764860, 464227	FALSE
ASV_1189	1905723, 1905723;2315413, 407301, 89963, 3129261, 2968077, 241424, 1886619, 298604, 1918384, 387435, 200894, 60595	FALSE
ASV_12005	2735543, 2735541;2735546;2735549;2735714;2735715;2735716, 1918590, 3097298, 3093756, 3079699;3093756, 44197, 869566, 3097325, 2734876;3093766, 3097310, 3097303, 3097290, 1607760, 3014532, 3014485, 3014484, 1817548, 869566;1576524, 270263, 639604, 328237, 86521, 89609, 89608	FALSE
ASV_12054	1905723, 1905723;2315413, 89963, 2968077, 142110, 1918384, 2699462, 262427, 1003175, 107757	FALSE
ASV_12086	2735543, 2735541;2735546;2735549;2735714;2735715;2735716, 1918590, 3097298, 3093756, 3079699;3093756, 44197, 869566, 3097325, 2734876;3093766, 3097310, 3097303, 3097290, 1607760, 3014532, 3014485, 3014484, 1817548, 869566;1576524, 270263, 639604, 328237, 86521, 89609, 89608	FALSE
ASV_1219	1905723, 1905723;2315413, 2968077, 3019568, 2902008	FALSE
ASV_1230	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_1236	1806893, 1695222, 3129261, 143670, 71861, 1652117, 2984365, 1886619, 1655529, 2591690, 1691973, 1239451, 631048, 160611, 858356, 284798;284799;284802	FALSE
ASV_12422	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_12563	1367452;1367461	TRUE
ASV_1259	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1342565, 145470, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_12643	2737751, 2737750, 2737749, 2737752, 2592178, 2592177, 2592175;2592176, 2592174, 2592173, 265543, 2152835, 555756, 2301934, 2301933, 2301932, 2301931, 2041805, 1155433, 1870746, 1929981, 1929982, 1764901, 1764895, 1764875, 1764892, 1764861, 1764860, 2316504, 2811639, 1400981, 2590921, 216823, 49258, 420264, 464227, 451791	FALSE
ASV_12701	2609847, 52066, 37862;52066, 37862	FALSE
ASV_12763	39450, 260685, 1905723, 1905723;2315413, 2364126, 2303287, 89963, 2968077, 2820087, 1290334, 1918384, 257771, 1614641, 257771;260685, 237470	FALSE
ASV_12782	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1342565, 145470, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_1283	2066664;2066665, 2066660, 2066653, 868044	FALSE
ASV_1297	1766654;1884248	TRUE
ASV_12983	100830, 64668, 64668;109042, 93934, 9091, 9103, 116989	FALSE
ASV_13063	1606541, 1411661, 722754;1714387	FALSE
ASV_13103	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_13115	2066664;2066665, 2066660, 2066653, 868044	FALSE
ASV_1312	72677, 1764082, 237470, 2945, 1226012, 39449, 2496629, 2364126, 3075827, 1905723, 71860, 1764932, 237471, 237471;1905723, 1290334, 2294190, 1764933, 2303292, 2946	FALSE
ASV_13125	1905833, 236787, 1606603, 1606602, 236787;1411684, 2811676	FALSE
ASV_13161	447208, 447208;497816	FALSE
ASV_13288	2302894, 2302891, 2302889, 2302888, 2302887, 1907930;2302880, 1764223, 464277, 464279, 464278	FALSE
ASV_13473	1606541, 1411661, 722754;1714387	FALSE
ASV_13496	39450, 260685, 1905723, 1905723;2315413, 2364126, 2303287, 89963, 2968077, 246728, 2820087, 1290334, 1918384, 257771, 1614641, 262427, 107757, 257771;260685, 237470	FALSE
ASV_13538	2737750, 2737749, 2592178, 2592175;2592176, 2592173, 2301934, 2301933, 2301932, 2301931, 1764895, 1764892, 1764861, 1764860, 464227	FALSE
ASV_13550	1905723, 1905723;2315413, 89963, 2219862, 2968077, 244960, 2984361, 2984353, 2984350, 2984346, 2984362, 2984345, 1641596, 60595, 1918384, 262427, 107757	FALSE
ASV_13606	1905723, 1905723;2315413, 89963, 2968077, 3086146, 447210, 1918384, 262427, 107757	FALSE
ASV_13820	6063, 2849410;2849411, 2849408, 145470, 1336887	FALSE
ASV_13863	1367452;1367461, 1367441	FALSE
ASV_13886	2301945, 2301967, 2301975, 2301983, 2301981, 2301969, 2301976, 2301970, 2301965, 2301979, 2301968, 1762025, 2301947;2301973, 2301962, 2301946, 2301980, 2301949, 2301954, 2301978, 2301961, 2301943, 2301950, 2301985	FALSE
ASV_13907	2589021, 178342, 178341, 41300, 2579142, 619271, 619270, 225408, 221626;265276;265277	FALSE
ASV_1395	2926, 2932, 2925, 1126604, 1126602, 1126601, 1041877, 1041877;1126601;1126602;1126603;1126604, 1126608, 1126610, 1126608;1126610, 1126605;1126607;1126608;1126609;1126610	FALSE
ASV_13987	1905723, 1905723;2315413, 89963, 244962, 2219862, 2968077, 1641406, 60595, 1918384, 262427, 107757	FALSE
ASV_14002	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_1406	1010556, 1010533, 1010473;1010490;1010542	FALSE
ASV_14064	2735543, 2735541;2735546;2735549;2735714;2735715;2735716, 1918590, 3097298, 3093756, 3079699;3093756, 44197, 869566, 3097325, 2734876;3093766, 3097310, 3097303, 3097290, 1607760, 3014532, 3014485, 3014484, 1817548, 869566;1576524, 270263, 639604, 328237, 86521, 89609, 89608	FALSE
ASV_14142	2302266, 1766654;1884248, 1181720	FALSE
ASV_14157	2302266, 1766654;1884248, 1181720	FALSE
ASV_1420	1764241, 1764237;1764239, 2812598, 1606473, 1764235, 1764234	FALSE
ASV_1424	1806893, 1695222, 3129261, 143670, 71861, 1652117, 1886619, 1655529, 2591690, 1691973, 1239451, 631048, 160611, 858356, 284798;284799;284802	FALSE
ASV_14380	1606541, 1411661, 722754;1714387	FALSE
ASV_144	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_14603	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_147	267566, 267567, 2843, 1764970, 1537841, 267567;1514174, 1503408, 1198651, 1198650, 1030545, 1030544, 1030542, 1030541, 1030540, 866888, 866887, 866886, 866884, 866883, 866882, 866881, 866880, 866879, 866878, 866877, 866876, 866874;866875, 866873, 866872, 866871, 619278, 619277, 619276, 619275, 2843;267567;439494, 216762;267567;1030547;1030548;1030549, 41457, 1764921, 1764920, 1764919, 371681	FALSE
ASV_14712	163663;238910	TRUE
ASV_14722	2064960, 64525;311239;979697	FALSE
ASV_14727	2926, 2932, 2925, 1126604, 1126602, 1126601, 1041877, 1041877;1126601;1126602;1126603;1126604, 1126608, 1126610, 1126608;1126610, 1126605;1126607;1126608;1126609;1126610	FALSE
ASV_14748	1905723, 1905723;2315413, 89963, 2968077, 1918384, 262427, 107757	FALSE
ASV_14862	246752, 1582126, 1582128, 1582124;1582125;1582130, 244502, 1582117;1582120;1582138;1582139, 98291, 1421103, 1582110;1582145, 462886, 462885, 98291;1582111	FALSE
ASV_14866	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1342565, 145470, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_14871	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1336887, 1342565, 145470, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_14892	1169001, 1050072, 1169006, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_14910	2081474, 177573, 2849393;2849394;2849395;2849396;2849397, 177560, 1342565, 145470, 279590, 1336862;1342609, 1071511, 364019, 283547	FALSE
ASV_14924	1606541, 1411661, 722754;1714387	FALSE
ASV_15044	153648, 1311521, 516040;1131439	FALSE
ASV_151	1905833, 236787, 1606603, 1606602, 236787;1411684, 2811676, 1411684	FALSE
