All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E26_1B_DY20	MP_E26_2B_DY20	MP_E27_2B_DY20	MP_E28_1B_DY20	MP_E28_2B_DY20	MP_E29_1B_DY20	MP_E29_2B_DY20	MP_E31_1B_DY20	MP_E31_2B_DY20	MP_E32_2B_DY20	MP_E33_1B_DY20	MP_E33_2B_DY20	MP_E34_1B_DY20	MP_E35_1B_DY20	MP_E35_2B_DY20	MP_E36_1B_DY20	MP_E36_2B_DY20	MP_E37_1B_DY20	MP_E37_2B_DY20	MP_E38_1B_DY20	MP_E38_2B_DY20	MP_E39_1B_DY20	MP_E39_2B_DY20	MP_E40_1B_DY20	MP_E40_2B_DY20	MP_E42_1B_DY20	MP_E42_2B_DY20	MP_E43_1B_DY20	MP_E43_2B_DY20	MP_E44_DY20	MP_E45_1B_DY20	MP_E45_2B_DY20	MP_E46_1B_DY20	MP_E46_2B_DY20	MP_E47_1B_DY20	MP_E47_2B_DY20	MP_E48_1B_DY20	MP_E48_2B_DY20	MP_E49_1B_DY20	MP_E49_2B_DY20	MP_E50_1B_DY20	MP_E50_2B_DY20	MP_E51_1B_DY20	MP_E51_2B_DY20	MP_E52_1B_DY20	MP_E52_2B_DY20	MP_E53_1B_DY20	MP_E53_2B_DY20	MP_E54_1B_DY20	MP_E54_2B_DY20	MP_E55_1B_DY20	MP_E55_2B_DY20	MP_E57_1B_DY20	MP_E57_2B_DY20	MP_E58_1B_DY20	MP_E58_2B_DY20	MP_E59_1B_DY20	MP_E59_2B_DY20	MP_E60_1B_DY20	MP_E60_2B_DY20	MP_E61_1B_DY20	MP_E61_2B_DY20	MP_E62_1B_DY20	MP_E62_2B_DY20	MP_E63_1B_DY20	MP_E63_2B_DY20	MP_E64_1B_DY20	MP_E64_2B_DY20	MP_E65_1B_DY20	MP_E65_2B_DY20	MP_E66_1B_DY20	MP_E66_2B_DY20	MP_E67_1B_DY20	MP_E67_2B_DY20	MP_E68_1B_DY20	MP_E68_2B_DY20	MP_E69_2B_DY20	MP_E70_1B_DY20	MP_E70_2B_DY20	MP_E71_1B_DY20	MP_E71_2B_DY20	MP_E72_1B_DY20	MP_E72_2B_DY20	MP_E233_1B_NO20	MP_E233_2B_NO20	MP_E234_1B_NO20	MP_E234_2B_NO20	MP_E234_3B_NO20	MP_E235_1B_NO20	MP_E235_2B_NO20	MP_E235_3B_NO20	MP_E236_1B_NO20	MP_E236_2B_NO20	MP_E236_3B_NO20	MP_E237_1B_NO20	MP_E237_2B_NO20	MP_E238_1B_NO20	MP_E238_2B_NO20	MP_E239_1B_NO20	MP_E239_2B_NO20	MP_E240_1B_NO20	MP_E240_2B_NO20	MP_E241_1B_NO20	MP_E241_2B_NO20	MP_E242_1B_NO20	MP_E242_2B_NO20	MP_E243_1B_NO20	MP_E243_2B_NO20	MP_E244_1B_NO20	MP_E244_2B_NO20	MP_E245_1B_NO20	MP_E245_2B_NO20	MP_E246_1B_NO20	MP_E246_2B_NO20	MP_E247_1B_NO20	MP_E247_2B_NO20	MP_E248_1B_NO20	MP_E248_2B_NO20	MP_E249_1B_NO20	MP_E249_2B_NO20	MP_E250_1B_NO20	MP_E250_2B_NO20	MP_E251_1B_NO20	MP_E251_2B_NO20	MP_E252_1B_NO20	MP_E252_2B_NO20	MP_E253_NO20	MP_E254_NO20	MP_E255_1B_NO20	MP_E255_2B_NO20	MP_E256_1B_NO20	MP_E256_2B_NO20	MP_E257_1B_NO20	MP_E257_2B_NO20	MP_E258_1B_NO20	MP_E258_2B_NO20	MP_E259_1B_NO20	MP_E259_2B_NO20	MP_E260_1B_NO20	MP_E260_2B_NO20	MP_E261_1B_NO20	MP_E261_2B_NO20	MP_E262_1B_NO20	MP_E262_2B_NO20	MP_E263_2B_NO20	MP_E264_1B_NO20	MP_E264_2B_NO20	MP_E265_1B_NO20	MP_E265_2B_NO20	MP_E266_1B_NO20	MP_E266_2B_NO20	MP_E267_1B_NO20	MP_E267_2B_NO20	MP_E268_1B_NO20	MP_E268_2B_NO20	MP_E269_1B_NO20	MP_E269_2B_NO20	MP_E270_1B_NO20	MP_E270_2B_NO20	MP_E271_1B_NO20	MP_E271_2B_NO20	MP_E272_1B_NO20	MP_E272_2B_NO20	MP_E273_1B_NO20	MP_E273_2B_NO20	MP_E274_1B_NO20	MP_E274_2B_NO20	MP_E275_1B_NO20	MP_E275_2B_NO20	MP_E276_1B_NO20	MP_E276_2B_NO20	MP_E277_1B_NO20	MP_E277_2B_NO20	MP_E277_3B_NO20	MP_E278_1B_NO20	MP_E278_2B_NO20	MP_E278_3B_NO20	MP_E279_1B_NO20	MP_E279_2B_NO20	MP_E280_1B_NO20	MP_E280_2B_NO20	MP_E280_3B_NO20	MP_E281_1B_NO20	MP_E281_2B_NO20	MP_E281_3B_NO20	MP_E282_1B_NO20	MP_E282_2B_NO20	MP_E282_3B_NO20	MP_E283_1B_NO20	MP_E283_2B_NO20	MP_E283_3B_NO20	MP_E284_1B_NO20	MP_E284_2B_NO20	MP_E284_3B_NO20	MP_E285_1B_NO20	MP_E285_2B_NO20	MP_E285_3B_NO20	MP_E286_1B_NO20	MP_E286_2B_NO20	MP_E286_3B_NO20	MP_E287_1B_NO20	MP_E287_2B_NO20	MP_E287_3B_NO20	MP_E288_1B_NO20	MP_E288_2B_NO20	MP_E289_1B_NO20	MP_E289_2B_NO20	MP_E289_3B_NO20	MP_E290_1B_NO20	MP_E290_2B_NO20	MP_E290_3B_NO20	MP_E291_1B_NO20	MP_E291_2B_NO20	MP_E291_3B_NO20	MP_E292_1B_NO20	MP_E292_2B_NO20	MP_E292_3B_NO20	MP_E293_1B_NO20	MP_E293_2B_NO20	MP_E293_3B_NO20	MP_E294_1B_NO20	MP_E294_2B_NO20	MP_E294_3B_NO20	MP_E295_1B_NO20	MP_E295_2B_NO20	MP_E295_3B_NO20	MP_E296_1B_NO20	MP_E296_2B_NO20	MP_E296_3B_NO20	MP_E297_1B_NO20	MP_E297_2B_NO20	MP_E297_3B_NO20	MP_E298_1B_NO20	MP_E298_2B_NO20	MP_E298_3B_NO20	MP_E299_1B_NO20	MP_E299_2B_NO20	MP_E299_3B_NO20	MP_E300_1B_NO20	MP_E300_2B_NO20	MP_E300_3B_NO20	MP_E24_NC_DY20	MP_E41_NC_DY20	MP_E56_NC_DY20	MP_E73_NC_DY20	MP_E232_NC_NO20	MP_E301_NC_NO20	MP_POSITIVE
	% Known	99.91	99.91	99.79	99.97	99.93	99.93	99.87	99.87	99.88	99.94	99.81	99.93	99.88	99.86	99.96	99.95	99.96	99.92	99.98	99.97	99.88	99.89	99.96	99.96	99.95	99.94	99.87	99.89	99.93	99.89	99.87	99.96	99.99	99.97	99.97	99.93	99.92	99.81	99.82	99.92	99.92	99.83	99.9	99.9	99.95	99.89	99.96	99.9	99.87	99.92	99.97	99.96	99.97	99.95	99.95	99.96	99.88	99.98	99.99	100	100	99.98	100	99.96	99.93	99.98	99.97	99.9	99.95	99.96	99.97	99.92	99.95	99.93	99.94	99.9	99.96	99.91	99.87	99.83	99.95	99.91	99.93	99.95	99.69	99.77	99.93	99.95	99.61	99.58	99.9	99.61	99.84	99.81	99.8	99.79	99.93	99.76	99.87	99.56	99.36	99.84	99.95	99.75	99.81	99.83	99.86	99.33	99.02	99.66	99.51	99.62	99.69	99.51	99.63	99.48	99.06	99.44	99.16	99.17	99.48	99.6	99.04	99.38	99.39	99.88	99.49	99.43	99.73	99.12	99.65	99.6	99.38	99.73	99.52	99.95	99.77	99.65	99.34	99.89	99.81	99.43	99.31	99.68	99.78	99.4	99.6	99.78	99.59	99.73	99.78	99.69	99.8	99.71	99.79	99.84	99.43	99.08	99.86	99.69	99.74	99.22	99.88	99.92	99.6	99.83	99.65	99.53	99.76	99.93	99.76	99.85	99.9	99.73	99.65	100	99.84	99.82	99.86	99.85	100	99.78	99.9	99.75	99.29	99.7	99.65	99.81	99.76	99.87	99.63	99.58	99.74	99.93	100	99.61	99.53	99.56	99.61	99.83	99.8	99.31	99.44	99.69	99.55	99.38	99.66	99.43	99.52	99.45	99.38	99.67	99.51	99.83	99.56	99.67	99.7	99.67	99.53	99.62	99.62	99.87	99.81	99.78	99.73	99.62	99.77	99.6	99.75	99.77	99.33	99.11	99.3	99.53	99.63	99.86	99.5	99.59	99.56	99.47	99.47	99.87	100	100	100	100	100	100	100
	% Eukaryote	98.64	97.81	96.77	99.11	98.64	98.39	96.97	98.01	97.72	98.09	99.14	98.09	96.79	99.56	92.17	94.44	89.33	89.44	99.18	99.5	95.34	96.67	95.55	96.87	93.71	96.44	98.33	98.35	97.38	97.67	95.61	98.23	98.13	99.57	98.54	95.19	94.98	95.52	95.37	98.06	97.47	94.26	95.83	97.35	97.74	98.89	99.12	97.47	98.17	98.73	98.97	98.45	98.55	97.83	97.2	92.58	91.52	98.17	98.66	98.23	98.8	97.42	98.08	94.86	96.26	98.86	98.9	95.55	96.38	99.35	99.28	99.02	98.99	98.07	98.08	97.08	97.41	98.19	93.8	93.7	97.65	97.68	97	97.89	98.74	99.02	99.72	99.69	99.16	96.77	98.57	96.17	99.09	99.22	99.24	98.87	99.71	96.76	99.59	96.19	97.03	99.68	99.75	98.41	99.48	99.08	98.99	95.32	95.3	98.29	96.83	94.57	95.16	97.52	95.93	94.62	95.78	98.06	96.75	91.81	95.93	97.51	97.13	97.94	94.93	98.65	98.08	96.9	99.14	95.43	95.95	98.12	97.57	88.39	90.45	99.83	97.85	94.27	95.43	98.72	95.87	96.15	96.89	93.74	93.97	96.97	96.32	97.69	72.18	67.2	95.68	95.25	98.51	97.72	99.07	98.52	94.07	95.79	96.96	95.27	82.27	95.47	97.42	98.68	76.29	81.33	81.9	81.96	97.33	96.72	93.7	93.04	97.74	96.62	95.75	99.71	96.92	98.46	98.26	97.56	91.35	96.05	96.87	95.35	94.76	95.8	97.45	98.44	97.34	97.73	93.53	93.2	97.26	98.68	94.07	82.22	86.34	81.83	94.45	96.05	99.12	86.39	86.13	90.82	86.04	83.75	95.97	95.72	96.4	96.42	96.23	95.29	85.65	88.36	81.98	86.35	79.82	85.2	96.78	96.16	94.49	98.98	95.89	94.23	88.95	82.63	77.85	81	74.2	69.37	90.85	88.91	94.41	95.75	97.36	96.6	87.95	91.55	83.08	85.47	87.93	89.5	100	100	100	100	100	100	100
	% Prokaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	D	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	D	0	D	D	0	0	0	0	0	0	D	D	0	0	0	0.01	D	D	0.02	0	0	0	0.01	D	0	0	D	D	0	0	0.01	0	0	0	0	0	0.01	0.02	0	0	0	0	0.02	0.01	0	0	0	0.01	0	0	0	0.01	0	D	0.02	D	D	0	D	0	D	D	D	0	0	0	D	0	0	D	D	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	D	0	0	D	D	0	0	0	0	0	0	0	0	0	D	0	0	D	D	0	D	D	0	0	D	D	D	D	0	D	0.01	0	0	0	0.01	0.01	0	D	0.01	0	0	0.01	0	D	D	0.01	0.01	0.01	0	0	D	0.01	D	0	0.01	0	0	0	0	0	0	0
	<<<Acantharea__p>>>
Eukaryota;Acantharea__p;Acantharea;Arthracanthida;NA;NA;NA	Arthracanthida	0	0.02	0.01	0.03	D	0	0.01	0	0	D	0.02	0	0	0	D	D	0.03	0.05	0	0	0.01	0.01	D	0	0	0	0	0	D	0	0.03	0	0	0	0	0.02	0.05	0	0	0.01	0.02	0	0	0.04	0.03	0	0	D	D	0	0	0	0	0	D	0	0.01	D	0.01	D	0	0	0	D	0.01	0	0	0	0	0.04	0.06	0.02	0.02	D	0.02	0	0	0.06	0.02	0.02	0	0	D	D	0.01	D	0	0	0	0	0	0.01	0	0	0	0.01	0	0.01	0	D	0	D	0	D	0	0.02	0.01	0.34	0.31	0.11	0.06	0.08	0.07	0.08	0.05	0.03	0.02	0.16	0.09	D	D	0.09	0.11	0.02	0	0.05	0.07	0.02	0.14	0.02	0.02	0.02	0.05	0	0.01	0	0	0.01	D	0	0	0.02	0.02	0	0	0.01	0	0.01	0	0.01	0	0	D	D	D	D	0.01	0.01	0	0	0	D	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.01	D	D	D	0	0	0.04	0.01	0.01	0.01	0	0	0.01	0	0.02	D	0.03	0	0	0.01	0.01	0	0.03	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	D	0	0.02	0.01	0.01	0.02	0.01	0.03	0.02	0	0.01	0.01	D	0.01	0.01	0.03	0.01	D	0	0	D	0.01	0	0	D	0	0	0	0.01	0	0	0	0	0	0	0	0
Eukaryota;Acantharea__p;Acantharea;Chaunacanthida;NA;NA;NA	Chaunacanthida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Acantharea__p;Acantharea;Holacanthida;NA;NA;NA	Holacanthida	0.01	D	0.01	0	0.04	0.02	0.01	0.02	0.01	0.01	0.05	0	0.01	0.05	0.01	0.01	0.05	0.07	0	0	0.04	0.03	0.01	0.01	0.01	0	0	D	0	0	0	0	0	0	0	0.01	0.01	0	0	0.03	0.01	0	0	0.02	0.02	0	0	0.11	0.14	0	0	0	0	0.07	0.04	0.05	0.03	0	0	0.03	0.06	D	0	0.11	0.14	0	0	0.15	0.07	0.01	0.01	0.01	0.01	0.02	0.09	0.06	0.02	0.01	0.07	0.02	D	0	0.16	0.12	0.02	0.02	0.03	0.01	0.07	D	0	0.03	0	0.07	0.07	0.03	0.04	0.02	0.01	0.03	0.02	0.02	0.01	0.01	D	0.07	0.03	0.19	0.05	0	0.01	0.07	0.04	0.12	0.1	0.01	0	0.12	0.25	0.09	0.12	0.05	0.1	0.03	0.05	0.02	0.05	0.02	0.06	0.04	D	0.05	0.18	0.01	D	0	0	0	0.02	0	0	0.08	0.08	0	0	0.03	0	D	0.01	0	0	0	0.01	D	0	D	0.05	D	0	0	D	0.03	0	0	0.04	0.02	D	0.01	0.07	0.02	0.02	0.06	0.01	0.05	0	0	0.01	0.01	0.05	0.01	0	0.02	0.03	0.05	0.01	0.03	0.02	D	0.02	0	0.05	0.04	0.02	0	0	0.15	0.01	0.25	0.05	0.04	0.01	0.02	0.03	0.02	0.04	0.06	D	0	0.01	0	0.01	0	0.09	0.05	0.05	0.07	0.03	0.05	0.03	0.02	0.04	0	D	0.01	0.03	0.1	0.03	0.04	0.02	0.05	0.02	0.03	0.05	0.03	0	0	0.01	0.01	0.02	0.03	0	0.02	0	0	0	0	0	0	0
Eukaryota;Acantharea__p;Acantharea;NA;NA;NA;NA	Acantharea	D	0.02	0.02	0.05	0.01	0.03	D	D	0.01	0.01	0.03	0	0.01	0.03	0.03	0.01	0	D	0.02	0.01	0.05	0.03	0.01	D	0	0.01	0	D	0.01	0.02	0.04	0	0	0	0	0.01	0.01	D	0.01	0.08	0.07	0.01	0.02	0.01	0.02	D	0	0.04	0.06	0.01	0.01	0.03	0.01	0	0.01	0.02	0.02	D	0	0.04	0.04	D	D	0.05	0.02	0	D	0.01	0.02	D	0.01	0	0.01	D	0.01	0.02	0	0.1	0.04	0.03	D	0.01	0.06	0.01	0.06	0.02	0	0	D	D	0	0.1	0	0	0	0.12	0	0.07	0	0.04	0.01	0.01	D	0.03	0.02	0.01	D	0.07	0.03	0	0	0.01	0.01	0	0	0.04	0.01	0.02	0.03	0	0.03	0.06	0.04	0.01	0.01	D	0.01	0.05	D	0	0.01	0.05	0.03	0	0	0	0	0.01	0.03	0	0	0.01	D	0	0	0.04	0.02	0	0.03	0.01	0.01	0.01	0.02	D	0.01	D	0.01	0.03	0	0.01	D	0.02	0	D	0.01	0	0.03	0	0.06	0.04	0.01	0.03	0.02	0.04	0.06	0	0.03	0.05	0.05	0.02	0	0.02	0	D	0.01	0.02	0.02	0.01	0.05	0.03	0.02	0.04	0.02	0.02	0	0	0.01	D	0.03	0.01	0	0.01	0.01	0	D	0.01	0.01	0.01	D	0.01	D	D	0.02	0	0.06	0.02	0.01	0.02	0.01	0.04	D	0.01	0.01	0.01	0.02	0.05	0.05	0.06	0.02	0.02	0.01	0.01	0.01	0.06	D	0.02	D	0	0.01	0	0	0	0	0	0	0	0	0	0
	<<<Ancyromonadida__c__p>>>
Eukaryota;Ancyromonadida__c__p;Ancyromonadida__c;Ancyromonadida;Ancyromonadidae;NA;NA	Ancyromonadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
