dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E25_2B_DY20	165929	150267	149876	149580	143274	118277	71.3
MP_E26_1B_DY20	65718	60692	60424	60390	57038	47239	71.9
MP_E26_2B_DY20	110063	100682	100093	99900	92395	72582	65.9
MP_E27_2B_DY20	131015	118441	118057	117909	111300	88150	67.3
MP_E28_1B_DY20	119729	111190	110927	110666	103902	86269	72.1
MP_E28_2B_DY20	121920	108996	108790	108519	102536	85643	70.2
MP_E29_1B_DY20	131059	118748	118351	118002	111233	95340	72.7
MP_E29_2B_DY20	158480	147528	147277	146948	142086	129880	82
MP_E31_1B_DY20	78432	66745	66540	66425	62903	52523	67
MP_E31_2B_DY20	137830	126540	126267	126016	121293	104267	75.6
MP_E32_2B_DY20	169758	153916	153243	153098	146720	112088	66
MP_E33_1B_DY20	158756	145256	144853	144278	136772	106678	67.2
MP_E33_2B_DY20	170285	154872	154495	154128	147725	119832	70.4
MP_E34_1B_DY20	60877	54712	54562	54442	52723	42931	70.5
MP_E35_1B_DY20	163227	149473	148936	148532	137447	104480	64
MP_E35_2B_DY20	174129	159827	159255	158997	148974	112795	64.8
MP_E36_1B_DY20	54983	49827	49698	49558	46892	36954	67.2
MP_E36_2B_DY20	45041	40677	40539	40479	38503	31673	70.3
MP_E37_1B_DY20	110934	96365	96062	95785	88959	69846	63
MP_E37_2B_DY20	144468	132671	132295	132152	126794	97228	67.3
MP_E38_1B_DY20	129033	118188	117732	117572	110200	91194	70.7
MP_E38_2B_DY20	132113	121308	120839	120697	113129	92122	69.7
MP_E39_1B_DY20	135576	124387	123871	123470	115373	92760	68.4
MP_E39_2B_DY20	145569	133378	132945	132489	124488	100772	69.2
MP_E40_1B_DY20	132271	119974	119695	119254	112349	93978	71
MP_E40_2B_DY20	137440	125557	125062	124660	115887	88508	64.4
MP_E42_1B_DY20	159827	137078	136747	136225	127729	96758	60.5
MP_E42_2B_DY20	131398	121803	121446	121149	115234	89504	68.1
MP_E43_1B_DY20	131866	121354	120875	120594	111163	86316	65.5
MP_E43_2B_DY20	125205	114282	113745	113518	105538	82471	65.9
MP_E44_DY20	122341	112179	111841	111673	106725	91139	74.5
MP_E45_1B_DY20	141339	129311	128735	128457	120467	86895	61.5
MP_E45_2B_DY20	145595	134269	133873	133532	126060	91035	62.5
MP_E46_1B_DY20	166164	151555	151392	151237	148157	125106	75.3
MP_E46_2B_DY20	115515	105050	104710	104493	99200	74938	64.9
MP_E47_1B_DY20	81824	75397	75117	74996	71298	57696	70.5
MP_E47_2B_DY20	65311	60204	60015	59864	57285	48436	74.2
MP_E48_1B_DY20	179701	163861	163264	162594	151936	107972	60.1
MP_E48_2B_DY20	174740	160923	160285	159592	148217	101930	58.3
MP_E49_1B_DY20	124478	112666	112350	112192	106604	87306	70.1
MP_E49_2B_DY20	114318	105885	105402	105210	99006	79763	69.8
MP_E50_1B_DY20	132157	121067	120767	120548	114661	99268	75.1
MP_E50_2B_DY20	133663	122000	121269	121363	113363	86937	65
MP_E51_1B_DY20	137472	126265	125918	125868	120219	91767	66.8
MP_E51_2B_DY20	114711	90109	89779	89878	85770	69112	60.2
MP_E52_1B_DY20	152542	140494	140173	139911	135709	108876	71.4
MP_E52_2B_DY20	147924	134985	134595	134159	128455	98579	66.6
MP_E53_1B_DY20	115149	105161	104896	104722	100263	85220	74
MP_E53_2B_DY20	117850	108653	108417	108295	105049	93596	79.4
MP_E54_1B_DY20	137243	127271	127016	126771	122659	104474	76.1
MP_E54_2B_DY20	125409	115129	114925	114782	111359	94357	75.2
MP_E55_1B_DY20	115203	106713	106446	106328	102700	86524	75.1
MP_E55_2B_DY20	121556	112606	112267	112288	109316	93616	77
MP_E57_1B_DY20	143976	130317	130080	129708	122598	94165	65.4
MP_E57_2B_DY20	134027	123705	123250	123161	116393	90990	67.9
MP_E58_1B_DY20	75372	69239	69127	69037	65933	55949	74.2
MP_E58_2B_DY20	142504	130374	130009	129500	121366	93810	65.8
MP_E59_1B_DY20	121551	111209	110906	110824	105730	82177	67.6
MP_E59_2B_DY20	156007	143688	143336	143236	137448	105168	67.4
MP_E60_1B_DY20	114620	106964	106817	106646	103691	83026	72.4
MP_E60_2B_DY20	20961	16986	16907	16951	16451	14039	67
MP_E61_1B_DY20	141949	130257	129903	129737	122871	90981	64.1
MP_E61_2B_DY20	153670	139583	139342	139125	132455	96912	63.1
MP_E62_1B_DY20	147434	136493	136146	135944	130012	109586	74.3
MP_E62_2B_DY20	133700	122114	121875	121709	117232	99219	74.2
MP_E63_1B_DY20	136379	112704	112488	112507	99419	76458	56.1
MP_E63_2B_DY20	141941	131397	131127	131047	125523	89784	63.3
MP_E64_1B_DY20	130771	120282	119861	119855	113622	90605	69.3
MP_E64_2B_DY20	23785	21830	21769	21745	20758	18328	77.1
MP_E65_1B_DY20	158579	146260	145927	145913	139950	110484	69.7
MP_E65_2B_DY20	141787	130605	130201	130044	122864	89391	63
MP_E66_1B_DY20	59206	54533	54391	54401	52600	44746	75.6
MP_E66_2B_DY20	94764	87191	86877	86860	82800	64962	68.6
MP_E67_1B_DY20	144486	133126	132896	132740	126807	103031	71.3
MP_E67_2B_DY20	139988	124825	124508	124430	114200	85129	60.8
MP_E68_1B_DY20	78115	71812	71616	71591	68237	57130	73.1
MP_E68_2B_DY20	51154	47383	47248	47238	45621	38315	74.9
MP_E69_2B_DY20	137985	127886	127531	127290	120077	95073	68.9
MP_E70_1B_DY20	130695	121266	120890	120886	115482	88036	67.4
MP_E70_2B_DY20	127777	118486	118171	118134	114018	98527	77.1
MP_E71_1B_DY20	144918	133146	132787	132565	127914	107059	73.9
MP_E71_2B_DY20	163831	149739	149329	148903	143300	108692	66.3
MP_E72_1B_DY20	122786	113183	112747	112499	105856	86707	70.6
MP_E72_2B_DY20	112020	102985	102684	102474	97888	82329	73.5
MP_E233_1B_NO20	183834	168286	167982	167678	162276	126162	68.6
MP_E233_2B_NO20	170425	156370	156270	156088	151078	135517	79.5
MP_E234_1B_NO20	179899	165765	165578	165563	160507	125439	69.7
MP_E234_2B_NO20	173170	158967	158725	158684	153898	121713	70.3
MP_E234_3B_NO20	214927	197043	196655	196497	188757	139330	64.8
MP_E235_1B_NO20	168782	152282	151893	151404	143182	117275	69.5
MP_E235_2B_NO20	151893	139662	139602	139476	131163	122637	80.7
MP_E235_3B_NO20	177860	162084	161650	161265	151468	121926	68.6
MP_E236_1B_NO20	166378	152162	152012	151765	138629	122911	73.9
MP_E236_2B_NO20	170539	156413	156187	156082	144957	122556	71.9
MP_E236_3B_NO20	183110	167699	167369	167258	160547	148577	81.1
MP_E237_1B_NO20	170061	157103	156850	156429	150658	123344	72.5
MP_E237_2B_NO20	202638	186101	185919	185715	181097	137966	68.1
MP_E238_1B_NO20	190389	175366	174877	174527	164407	131632	69.1
MP_E238_2B_NO20	166092	153600	153320	153260	146980	112356	67.6
MP_E239_1B_NO20	182309	167505	166904	166718	157549	121512	66.7
MP_E239_2B_NO20	201857	185170	184637	184238	176176	133174	66
MP_E240_1B_NO20	174714	161423	161204	160938	155776	116572	66.7
MP_E240_2B_NO20	173722	158990	158671	158676	154605	119031	68.5
MP_E241_1B_NO20	206317	190527	190259	190144	182116	150743	73.1
MP_E241_2B_NO20	186082	171082	170945	170742	165291	139563	75
MP_E242_1B_NO20	174418	147936	147751	147566	132998	101615	58.3
MP_E242_2B_NO20	202840	186816	186494	186294	180464	141446	69.7
MP_E243_1B_NO20	155901	143393	143006	142747	135166	108370	69.5
MP_E243_2B_NO20	159852	146815	145490	146030	139074	107834	67.5
MP_E244_1B_NO20	160703	149320	149126	149025	145061	134461	83.7
MP_E244_2B_NO20	174788	151159	151010	150679	142515	115525	66.1
MP_E245_1B_NO20	161475	148379	148136	147903	141665	121752	75.4
MP_E245_2B_NO20	164318	150394	150105	149900	144359	122005	74.2
MP_E246_1B_NO20	170740	156398	156052	155740	145463	111044	65
MP_E246_2B_NO20	159993	147167	147049	146809	141159	124990	78.1
MP_E247_1B_NO20	186798	172444	172089	171871	165298	132168	70.8
MP_E247_2B_NO20	164690	151012	150741	150605	144517	118124	71.7
MP_E248_1B_NO20	207227	190197	189740	189365	177930	132059	63.7
MP_E248_2B_NO20	152889	138825	138551	138300	127641	105332	68.9
MP_E249_1B_NO20	177596	163853	163340	163056	154144	120315	67.7
MP_E249_2B_NO20	188826	172911	172549	172279	163029	137712	72.9
MP_E250_1B_NO20	187514	143934	143645	143410	121015	95162	50.7
MP_E250_2B_NO20	206384	187958	187215	186925	173999	120079	58.2
MP_E251_1B_NO20	160638	147032	146773	146648	141034	116868	72.8
MP_E251_2B_NO20	196542	180294	179918	179786	172427	140238	71.4
MP_E252_1B_NO20	174625	157997	157743	157558	151097	122915	70.4
MP_E252_2B_NO20	181580	122607	122237	122162	97899	72471	39.9
MP_E253_NO20	185926	170462	170203	170010	163676	135209	72.7
MP_E254_NO20	187785	173234	172913	172650	162764	130593	69.5
MP_E255_1B_NO20	143006	129414	129164	128902	121505	104336	73
MP_E255_2B_NO20	154515	141374	141164	140970	136087	119317	77.2
MP_E256_1B_NO20	183195	114358	114079	113971	76191	60614	33.1
MP_E256_2B_NO20	186359	169808	169084	169295	159237	126404	67.8
MP_E257_1B_NO20	126662	116299	115980	115620	109966	92047	72.7
MP_E257_2B_NO20	172591	159723	159148	158735	149666	121199	70.2
MP_E258_1B_NO20	192886	175396	175334	175183	172267	151511	78.5
MP_E258_2B_NO20	158972	147726	147527	147452	144665	127475	80.2
MP_E259_1B_NO20	164887	151318	150942	150694	145210	135557	82.2
MP_E259_2B_NO20	166233	152114	151663	151383	144088	120779	72.7
MP_E260_1B_NO20	184983	164275	164189	163812	159938	145704	78.8
MP_E260_2B_NO20	200384	183695	183367	183003	175681	149811	74.8
MP_E261_1B_NO20	139411	126766	126403	126155	121123	100490	72.1
MP_E261_2B_NO20	158689	145370	144978	144620	139478	117272	73.9
MP_E262_1B_NO20	171504	155223	154701	154405	149060	119225	69.5
MP_E262_2B_NO20	148170	137645	137496	137272	134176	123745	83.5
MP_E263_2B_NO20	179621	166359	166010	165719	160077	135393	75.4
MP_E264_1B_NO20	180795	166776	166379	166201	159016	135237	74.8
MP_E264_2B_NO20	162027	148440	148177	148012	141204	116340	71.8
MP_E265_1B_NO20	112450	104194	103827	103817	99547	88593	78.8
MP_E265_2B_NO20	152942	137109	136767	136664	131418	116442	76.1
MP_E266_1B_NO20	127519	118242	118010	117783	111417	91175	71.5
MP_E266_2B_NO20	185285	169826	169320	169040	158582	128253	69.2
MP_E267_1B_NO20	173675	151406	150755	150444	141366	110405	63.6
MP_E267_2B_NO20	172502	157748	156998	156509	146015	110722	64.2
MP_E268_1B_NO20	174557	160188	159711	159341	152363	113258	64.9
MP_E268_2B_NO20	176633	160883	160335	159891	151111	115452	65.4
MP_E269_1B_NO20	165221	152012	151520	151095	141283	119563	72.4
MP_E269_2B_NO20	164449	150469	149965	149467	140072	118139	71.8
MP_E270_1B_NO20	152480	141497	141303	140923	135933	125802	82.5
MP_E270_2B_NO20	149804	138034	137600	137209	129381	110704	73.9
MP_E271_1B_NO20	189692	174514	173984	173038	159263	125225	66
MP_E271_2B_NO20	157259	145163	144589	144275	134998	110943	70.5
MP_E272_1B_NO20	170659	153412	153130	152853	149226	122049	71.5
MP_E272_2B_NO20	158056	143511	143268	142881	139067	125309	79.3
MP_E273_1B_NO20	164370	150146	149638	149041	141024	122702	74.6
MP_E273_2B_NO20	165196	152723	152418	151885	145860	133916	81.1
MP_E274_1B_NO20	169274	156548	155986	155829	148565	127989	75.6
MP_E274_2B_NO20	153979	140674	140394	140097	134434	119902	77.9
MP_E275_1B_NO20	144566	124000	123834	123642	120173	109786	75.9
MP_E275_2B_NO20	164207	150402	150036	149831	144677	126587	77.1
MP_E276_1B_NO20	134443	109809	109396	109197	96635	81813	60.9
MP_E276_2B_NO20	132342	121110	120847	120839	116635	112516	85
MP_E277_1B_NO20	141451	130683	130266	130041	124348	102102	72.2
MP_E277_2B_NO20	174049	159454	158760	158284	147906	116554	67
MP_E277_3B_NO20	151896	139455	139236	138635	133835	117548	77.4
MP_E278_1B_NO20	30684	27476	27476	27476	26760	26527	86.5
MP_E278_2B_NO20	211758	193792	193519	192847	187375	159030	75.1
MP_E278_3B_NO20	182806	167426	167114	166819	160870	129080	70.6
MP_E279_1B_NO20	181006	164475	164181	163987	159823	139641	77.1
MP_E279_2B_NO20	155931	139723	139247	138532	130745	103917	66.6
MP_E280_1B_NO20	37297	33960	33957	33955	33190	33179	89
MP_E280_2B_NO20	161027	149075	148811	148370	142473	122923	76.3
MP_E280_3B_NO20	190461	176580	176256	176109	169518	155916	81.9
MP_E281_1B_NO20	142099	130919	130420	130149	122958	98360	69.2
MP_E281_2B_NO20	188569	170725	170228	169538	159381	126241	66.9
MP_E281_3B_NO20	177126	159838	159341	158909	150400	122372	69.1
MP_E282_1B_NO20	194598	177947	177437	177062	167927	136682	70.2
MP_E282_2B_NO20	194238	177633	177392	177176	171361	146097	75.2
MP_E282_3B_NO20	161191	149377	148875	148903	143367	125611	77.9
MP_E283_1B_NO20	167268	137364	137022	136907	132339	112356	67.2
MP_E283_2B_NO20	193623	175091	174733	174312	167626	144003	74.4
MP_E283_3B_NO20	174973	160304	159878	159470	152375	127807	73
MP_E284_1B_NO20	164675	150688	150275	149942	141394	114115	69.3
MP_E284_2B_NO20	151398	139872	139773	139370	136946	124287	82.1
MP_E284_3B_NO20	61480	56295	56294	56289	54571	54474	88.6
MP_E285_1B_NO20	171565	154872	154284	153890	143534	114834	66.9
MP_E285_2B_NO20	171532	151812	151423	150825	142536	119887	69.9
MP_E285_3B_NO20	190288	171725	171184	170546	159608	131818	69.3
MP_E286_1B_NO20	170963	158362	158108	157875	151696	130590	76.4
MP_E286_2B_NO20	160734	140993	140745	140384	133476	111117	69.1
MP_E286_3B_NO20	187594	170953	170697	170470	165709	142152	75.8
MP_E287_1B_NO20	208527	190717	189559	188748	171662	140271	67.3
MP_E287_2B_NO20	159467	146492	145929	145365	135303	113409	71.1
MP_E287_3B_NO20	172997	157520	156831	156398	147612	120540	69.7
MP_E288_1B_NO20	160394	147625	146955	146368	135552	111407	69.5
MP_E288_2B_NO20	195029	178367	177573	176693	161879	132639	68
MP_E289_1B_NO20	172457	159501	159107	158288	149415	123303	71.5
MP_E289_2B_NO20	181850	166648	166040	165290	153050	122905	67.6
MP_E289_3B_NO20	177953	164876	164526	163944	155290	128561	72.2
MP_E290_1B_NO20	184548	168713	168350	167920	159533	136802	74.1
MP_E290_2B_NO20	199813	183644	183217	182493	172101	142159	71.1
MP_E290_3B_NO20	178603	155741	155426	154795	146561	120452	67.4
MP_E291_1B_NO20	208455	192255	191513	190858	178120	140533	67.4
MP_E291_2B_NO20	187972	173833	173651	172963	167320	146939	78.2
MP_E291_3B_NO20	189496	172664	172039	171351	158244	120114	63.4
MP_E292_1B_NO20	187123	170611	170093	169654	159154	128104	68.5
MP_E292_2B_NO20	174766	159103	158427	157944	145553	110315	63.1
MP_E292_3B_NO20	175127	158819	158345	157736	147838	119557	68.3
MP_E293_1B_NO20	208183	193563	193042	192522	183432	154991	74.4
MP_E293_2B_NO20	217183	199222	198755	198176	190392	167010	76.9
MP_E293_3B_NO20	218459	198255	197659	196778	185488	151775	69.5
MP_E294_1B_NO20	225069	205618	205384	204971	199891	183390	81.5
MP_E294_2B_NO20	217599	199785	199410	198972	191262	154042	70.8
MP_E294_3B_NO20	207977	190474	190180	189572	182062	148286	71.3
MP_E295_1B_NO20	180744	166334	165952	165217	158815	138915	76.9
MP_E295_2B_NO20	184077	168673	168249	167596	156794	126477	68.7
MP_E295_3B_NO20	210237	190366	189809	189429	178767	143493	68.3
MP_E296_1B_NO20	211753	195128	194507	193727	181466	141884	67
MP_E296_2B_NO20	185229	170086	169649	169135	158828	129626	70
MP_E296_3B_NO20	185067	169933	169337	168778	157228	124528	67.3
MP_E297_1B_NO20	182052	165735	165006	164159	154228	128446	70.6
MP_E297_2B_NO20	183822	169601	168884	167979	156024	127160	69.2
MP_E297_3B_NO20	232027	211528	210919	209587	199896	167473	72.2
MP_E298_1B_NO20	175442	162380	161941	161395	151940	125938	71.8
MP_E298_2B_NO20	210039	192215	191836	191385	184445	156568	74.5
MP_E298_3B_NO20	215318	197553	197124	196667	189443	162559	75.5
MP_E299_1B_NO20	191668	174045	173276	172651	157949	123197	64.3
MP_E299_2B_NO20	177091	158503	157883	157392	143808	118730	67
MP_E299_3B_NO20	147994	132512	132194	131534	121102	102117	69
MP_E300_1B_NO20	171352	155692	154913	154298	136397	104911	61.2
MP_E300_2B_NO20	156031	143071	142500	141919	125686	99990	64.1
MP_E300_3B_NO20	207267	188113	187567	186827	174609	147406	71.1
MP_E24_NC_DY20	651	529	528	529	25	24	3.7
MP_E41_NC_DY20	3571	3032	3028	3031	2588	2588	72.5
MP_E56_NC_DY20	521	435	435	435	125	125	24
MP_E73_NC_DY20	93990	85828	85821	85750	84706	84385	89.8
MP_E232_NC_NO20	3270	2991	2991	2990	2557	2556	78.2
MP_E301_NC_NO20	9256	7910	7909	7910	2400	2399	25.9
MP_POSITIVE	85888	72155	72154	72013	204	204	0.2
