ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	NA
ASV_10	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_100	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Peridiniopsidaceae	Parvodinium	Parvodinium umbonatum
ASV_1000	Eukaryota	Arthropoda	Hexanauplia	NA	NA	NA	NA
ASV_10000	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10001	Eukaryota	Nemertea	Palaeonemertea	NA	NA	NA	NA
ASV_10002	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10003	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_10004	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_10005	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	Arpakorses__f	NA	NA
ASV_10006	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10007	Eukaryota	Annelida	Polychaeta	Capitellidae__o	Capitellidae	Notomastus	Notomastus latericeus
ASV_10008	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10009	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1001	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	NA	NA	NA
ASV_10010	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	NA	NA	NA
ASV_10011	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_10012	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Rhopalonema	Rhopalonema velatum
ASV_10013	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10014	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10015	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10016	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	NA	NA
ASV_10017	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10019	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	Sphaerozoidae	NA	NA
ASV_1002	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	Telonema__f	NA	NA
ASV_10020	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina leadbeateri
ASV_10021	Eukaryota	Cercozoa	Thecofilosea	Mataza__f__o	NA	NA	NA
ASV_10023	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Rhopalonema	NA
ASV_10024	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10025	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	NA	NA
ASV_10026	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10027	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia dissipata
ASV_10028	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10029	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_1003	Eukaryota	Oomycota	Lagenidiales__c	NA	NA	NA	NA
ASV_10030	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	NA
ASV_10031	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	Laboea	Laboea strobila
ASV_10032	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_10033	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10034	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10035	Eukaryota	Annelida	Polychaeta	Opheliidae__o	Opheliidae	Travisia	NA
ASV_10036	Eukaryota	Annelida	Polychaeta	Terebellida	Trichobranchidae	Terebellides	NA
ASV_10037	Eukaryota	Dinophyceae__p	Dinophyceae	Levanderina__f__o	Levanderina__f	Levanderina	Levanderina fissa
ASV_10038	Eukaryota	Arthropoda	Hexanauplia	NA	NA	NA	NA
ASV_10039	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	NA	NA	NA
ASV_1004	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_10040	Eukaryota	Cercozoa	Auranticordis__f__o__c	Auranticordis__f__o	NA	NA	NA
ASV_10041	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV_10042	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
