Value	Sample	TerminalTaxa
21611	MP_E611_1B_WCOA21	Dinophyceae
2780	MP_E611_1B_WCOA21	Parvodinium umbonatum
442	MP_E611_1B_WCOA21	Cercozoa
1718	MP_E611_1B_WCOA21	Klebsormidiales
8499	MP_E611_1B_WCOA21	Eukaryota
4749	MP_E611_1B_WCOA21	Chaunacanthida
20059	MP_E611_1B_WCOA21	Syndiniales
1452	MP_E611_1B_WCOA21	Cladococcus viminalis
15372	MP_E611_1B_WCOA21	Diplonemea
1	MP_E611_1B_WCOA21	Rhizosphaeridae
9610	MP_E611_1B_WCOA21	Eupelagonemidae
359	MP_E611_1B_WCOA21	Acanthoecidae
2014	MP_E611_1B_WCOA21	Sticholonchida
1753	MP_E611_1B_WCOA21	Peridiniaceae
1133	MP_E611_1B_WCOA21	Chattonellales
39081	MP_E611_1B_WCOA21	Amoebophryaceae
836	MP_E611_1B_WCOA21	Amphidiniales
3792	MP_E611_1B_WCOA21	Gymnodiniaceae
672	MP_E611_1B_WCOA21	Paradiniida
6192	MP_E611_1B_WCOA21	Collodaria
464	MP_E611_1B_WCOA21	Emplectonema cf_ kandai
939	MP_E611_1B_WCOA21	Peridiniales
1746	MP_E611_1B_WCOA21	Cryptophyceae
1832	MP_E611_1B_WCOA21	Liliales
328	MP_E611_1B_WCOA21	Heterocapsa rotundata
1099	MP_E611_1B_WCOA21	Amoebophrya
8	MP_E611_1B_WCOA21	Gyrodinium dominans
73	MP_E611_1B_WCOA21	Protoperidiniaceae
1496	MP_E611_1B_WCOA21	Kirithra
5570	MP_E611_1B_WCOA21	Gymnodiniales
349	MP_E611_1B_WCOA21	Triparmaceae
19	MP_E611_1B_WCOA21	Basidiobolales
1789	MP_E611_1B_WCOA21	Rotosphaerida
591	MP_E611_1B_WCOA21	Karlodinium
630	MP_E611_1B_WCOA21	Diaphanoeca undulata
283	MP_E611_1B_WCOA21	Prymnesiales
688	MP_E611_1B_WCOA21	Apicomplexa
4538	MP_E611_1B_WCOA21	Spirotrichea
5364	MP_E611_1B_WCOA21	Sticholonchidae
1817	MP_E611_1B_WCOA21	Myxococcia
1923	MP_E611_1B_WCOA21	Unknown
5909	MP_E611_1B_WCOA21	Kareniaceae
27179	MP_E611_1B_WCOA21	Sphaerozoidae
25	MP_E611_1B_WCOA21	Dactylopodida
439	MP_E611_1B_WCOA21	Coccomyxa__f
22	MP_E611_1B_WCOA21	Flabellinia
22	MP_E611_1B_WCOA21	Amphidiniaceae
1308	MP_E611_1B_WCOA21	Kryptoperidiniaceae
676	MP_E611_1B_WCOA21	Eudubosquellidae
386	MP_E611_1B_WCOA21	Pyrenomonadales
331	MP_E611_1B_WCOA21	Salpingella
430	MP_E611_1B_WCOA21	Travisia kerguelensis
191	MP_E611_1B_WCOA21	Spumellaria
875	MP_E611_1B_WCOA21	Ascetosporea
4031	MP_E611_1B_WCOA21	Siphonophorae
874	MP_E611_1B_WCOA21	Durinskia
16	MP_E611_1B_WCOA21	Chrysochromulinaceae
67	MP_E611_1B_WCOA21	Stephanoecidae
566	MP_E611_1B_WCOA21	Takayama
187	MP_E611_1B_WCOA21	Oxytoxum cristatum
