x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_POSITIVE
ASV_1	0	0	0	0	0	0	0	4760	11328	0	2126	6014	7212	968	3616	523722	20124	1722	212939	12312	0	0	0	902	965	108102	21127	30457	147493	1734	5442	3897	2877	750	131	1994	11	2	0	7	1214	4459	610	1184	340	222	293	172	0	740	0	0	9	133	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	21611	13540	19941	16604	8678	6489	37480	13400	10284	34179	10788	8653	8729	24748	16576	1706	11259	12554	19797	10725	9419	7766	25766	2381	3745	15222	22879	17023	7883	10770	8927	13637	3184	16337	14196	7003	60881	37393	38976	28750	8392	19539	14544	18428	3824	7742	12204	7736	24191	15339	70080	45948	20657	50347	71226	36181	40772	57805	47697	37486	472	4783	8045	52	7	18	2	7	18	18022	9062	33
ASV_100	2780	264	119	241	0	185	34	2591	1065	459	187	775	2286	2540	1778	152	3498	147	200	271	50	374	555	72	0	107	14	138	354	725	690	1522	243	550	154	158	3114	4334	2067	31	389	3497	1439	1248	336	1260	1547	345	9	432	11	44	0	0	68	27	3	0	76	30	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	51	0	0	0	0	9	0	0	22	12	0	0	0	12	329	40	70	116	0	0	0	0	0	0	52	0	54	174	275	235	192636	0	113	0	8	42	79	0	717	9384	1087	566	346086	385445	68286	550	0	1586	319	1	19	0	63	617	48	1416	57	56	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10000	15372	10183	9228	21050	40042	41977	28860	25822	33745	31080	4166	25589	52283	29664	18336	2553	20308	9711	13970	28225	27516	35945	42437	7625	13921	7150	7864	8858	6258	4204	3962	6101	5686	21629	14891	17403	3891	2354	1873	1699	1098	6643	4067	2796	732	2206	3434	1853	24391	26105	3448	14024	1	19459	19523	466	5489	203	6274	595	0	1	25	0	1	0	0	0	0	0	0	1
ASV_10001	0	0	0	0	0	0	0	0	0	0	0	86	0	64	0	19	0	17	983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10003	9610	808	265	2323	2944	3424	3177	2166	4603	16813	819	2643	3732	12119	4369	127	1151	1099	1041	51	2048	2321	9398	602	1161	670	831	749	847	413	258	636	1528	3749	1784	1639	765	345	303	188	56	285	976	238	32	188	214	121	663	2527	1184	3814	0	3939	5866	51	1425	0	1401	18	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10004	20059	11644	10375	8940	13309	8778	21049	9855	5056	8602	6235	4256	9916	8418	5291	938	22908	10259	11189	3093	15884	16009	23834	1485	2865	10017	10726	9570	6618	11302	16121	28125	10163	52688	14440	18905	16554	7805	7806	9758	2139	15494	11624	12736	3154	8707	14734	3553	37832	20276	17871	17974	1511	16107	22370	4564	11606	4525	13631	6116	0	1	400	12	21	31	9	28	22	25	0	1
ASV_10005	0	147	0	0	0	0	31	29	0	0	0	0	0	0	0	0	0	124	59	0	224	0	0	0	0	16	16	0	0	0	0	56	0	0	0	0	8	43	23	23	9	31	50	0	0	0	0	17	0	0	14	74	0	242	18	2	0	0	74	24	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10006	39081	4999	23356	11148	19767	9341	12008	12948	14403	7407	4924	5436	12857	9494	1800	582	10084	6794	7631	920	16558	7327	6870	1241	3007	11099	12376	9931	8855	5391	9663	13794	6481	31240	17700	21041	24909	10419	10101	11959	1533	7767	7549	7689	2346	5037	8924	1840	44603	16067	13700	18643	3288	19058	18453	8537	11704	7502	12559	9627	0	403	809	0	0	1	0	1	2	0	4	7
