reads.in	reads.out
MP_E25_2B_DY20_R1_trimmed.fq.gz	165901	141862
MP_E26_1B_DY20_R1_trimmed.fq.gz	161277	82813
MP_E26_2B_DY20_R1_trimmed.fq.gz	142138	129134
MP_E27_1B_DY20_R1_trimmed.fq.gz	63107	58938
MP_E27_2B_DY20_R1_trimmed.fq.gz	140882	85985
MP_E28_1B_DY20_R1_trimmed.fq.gz	157990	145004
MP_E28_2B_DY20_R1_trimmed.fq.gz	140389	112982
MP_E29_1B_DY20_R1_trimmed.fq.gz	157657	145794
MP_E29_2B_DY20_R1_trimmed.fq.gz	140968	132262
MP_E30_1B_DY20_R1_trimmed.fq.gz	160507	90846
MP_E30_2B_DY20_R1_trimmed.fq.gz	125660	92527
MP_E31_1B_DY20_R1_trimmed.fq.gz	134052	94467
MP_E31_2B_DY20_R1_trimmed.fq.gz	152899	141153
MP_E32_1B_DY20_R1_trimmed.fq.gz	146949	135338
MP_E32_2B_DY20_R1_trimmed.fq.gz	155757	117123
MP_E33_1B_DY20_R1_trimmed.fq.gz	143834	128205
MP_E33_2B_DY20_R1_trimmed.fq.gz	162560	125773
MP_E34_1B_DY20_R1_trimmed.fq.gz	147829	103059
MP_E34_2B_DY20_R1_trimmed.fq.gz	131350	66935
MP_E35_1B_DY20_R1_trimmed.fq.gz	147419	135782
MP_E35_2B_DY20_R1_trimmed.fq.gz	143085	124430
MP_E36_1B_DY20_R1_trimmed.fq.gz	133172	106191
MP_E36_2B_DY20_R1_trimmed.fq.gz	146876	131246
MP_E37_1B_DY20_R1_trimmed.fq.gz	130165	104117
MP_E37_2B_DY20_R1_trimmed.fq.gz	179993	134728
MP_E38_1B_DY20_R1_trimmed.fq.gz	140256	129300
MP_E38_2B_DY20_R1_trimmed.fq.gz	174959	162379
MP_E39_1B_DY20_R1_trimmed.fq.gz	151906	140406
MP_E39_2B_DY20_R1_trimmed.fq.gz	155326	144381
MP_E40_1B_DY20_R1_trimmed.fq.gz	165167	152646
MP_E40_2B_DY20_R1_trimmed.fq.gz	149793	133868
MP_E42_1B_DY20_R1_trimmed.fq.gz	161396	124476
MP_E42_2B_DY20_R1_trimmed.fq.gz	150898	124375
MP_E43_1B_DY20_R1_trimmed.fq.gz	159220	147527
MP_E43_2B_DY20_R1_trimmed.fq.gz	140496	130625
MP_E44_DY20_R1_trimmed.fq.gz	139364	128489
MP_E45_1B_DY20_R1_trimmed.fq.gz	156685	126692
MP_E45_2B_DY20_R1_trimmed.fq.gz	150464	121736
MP_E46_1B_DY20_R1_trimmed.fq.gz	180651	78556
MP_E46_2B_DY20_R1_trimmed.fq.gz	137601	101762
MP_E47_1B_DY20_R1_trimmed.fq.gz	143182	134019
MP_E47_2B_DY20_R1_trimmed.fq.gz	144654	80883
MP_E48_1B_DY20_R1_trimmed.fq.gz	158838	147224
