Sample	lat	long	controls	group1
MP_E25_2B_DY20	48	-122	NA	Dyson20
MP_E26_1B_DY20	48	-122	NA	Dyson20
MP_E26_2B_DY20	48	-122	NA	Dyson20
MP_E27_1B_DY20	48	-122	NA	Dyson20
MP_E27_2B_DY20	48	-122	NA	Dyson20
MP_E28_1B_DY20	48	-122	NA	Dyson20
MP_E28_2B_DY20	48	-122	NA	Dyson20
MP_E29_1B_DY20	48	-122	NA	Dyson20
MP_E29_2B_DY20	48	-122	NA	Dyson20
MP_E30_1B_DY20	48	-122	NA	Dyson20
MP_E30_2B_DY20	48	-122	NA	Dyson20
MP_E31_1B_DY20	48	-122	NA	Dyson20
MP_E31_2B_DY20	48	-122	NA	Dyson20
MP_E32_1B_DY20	48	-122	NA	Dyson20
MP_E32_2B_DY20	48	-122	NA	Dyson20
MP_E33_1B_DY20	48	-122	NA	Dyson20
MP_E33_2B_DY20	48	-122	NA	Dyson20
MP_E34_1B_DY20	48	-122	NA	Dyson20
MP_E34_2B_DY20	48	-122	NA	Dyson20
MP_E35_1B_DY20	48	-122	NA	Dyson20
MP_E35_2B_DY20	48	-122	NA	Dyson20
MP_E36_1B_DY20	48	-122	NA	Dyson20
MP_E36_2B_DY20	48	-122	NA	Dyson20
MP_E37_1B_DY20	48	-122	NA	Dyson20
MP_E37_2B_DY20	48	-122	NA	Dyson20
MP_E38_1B_DY20	48	-122	NA	Dyson20
MP_E38_2B_DY20	48	-122	NA	Dyson20
MP_E39_1B_DY20	48	-122	NA	Dyson20
MP_E39_2B_DY20	48	-122	NA	Dyson20
MP_E40_1B_DY20	48	-122	NA	Dyson20
MP_E40_2B_DY20	48	-122	NA	Dyson20
MP_E42_1B_DY20	48	-122	NA	Dyson20
MP_E42_2B_DY20	48	-122	NA	Dyson20
MP_E43_1B_DY20	48	-122	NA	Dyson20
MP_E43_2B_DY20	48	-122	NA	Dyson20
MP_E44_DY20	48	-122	NA	Dyson20
MP_E45_1B_DY20	48	-122	NA	Dyson20
MP_E45_2B_DY20	48	-122	NA	Dyson20
MP_E46_1B_DY20	48	-122	NA	Dyson20
MP_E46_2B_DY20	48	-122	NA	Dyson20
MP_E47_1B_DY20	48	-122	NA	Dyson20
MP_E47_2B_DY20	48	-122	NA	Dyson20
MP_E48_1B_DY20	48	-122	NA	Dyson20
MP_E48_2B_DY20	48	-122	NA	Dyson20
MP_E49_1B_DY20	48	-122	NA	Dyson20
MP_E49_2B_DY20	48	-122	NA	Dyson20
MP_E50_1B_DY20	48	-122	NA	Dyson20
MP_E50_2B_DY20	48	-122	NA	Dyson20
MP_E51_1B_DY20	48	-122	NA	Dyson20
MP_E51_2B_DY20	48	-122	NA	Dyson20
MP_E52_1B_DY20	48	-122	NA	Dyson20
MP_E52_2B_DY20	48	-122	NA	Dyson20
MP_E53_1B_DY20	48	-122	NA	Dyson20
MP_E53_2B_DY20	48	-122	NA	Dyson20
MP_E54_1B_DY20	48	-122	NA	Dyson20
MP_E54_2B_DY20	48	-122	NA	Dyson20
MP_E55_1B_DY20	48	-122	NA	Dyson20
MP_E55_2B_DY20	48	-122	NA	Dyson20
MP_E57_1B_DY20	48	-122	NA	Dyson20
MP_E57_2B_DY20	48	-122	NA	Dyson20
MP_E58_1B_DY20	48	-122	NA	Dyson20
MP_E58_2B_DY20	48	-122	NA	Dyson20
