Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E614_WCOA21	ASV_1	12321	Eukaryota							
MP_E624_WCOA21	ASV_1	10854	Eukaryota							
MP_E678_WCOA21	ASV_1	9748	Eukaryota							
MP_E754_WCOA21	ASV_1	17014	Eukaryota							
MP_E815_WCOA21	ASV_1	5344	Eukaryota							
MP_E828_WCOA21	ASV_1	4240	Eukaryota							
MP_E834_WCOA21	ASV_1	4657	Eukaryota							
MP_E902_1B_WCOA21	ASV_1	20536	Eukaryota							
MP_E970_1T_NA128	ASV_1	7898	Eukaryota							
MP_E971_1T_NA128	ASV_1	28580	Eukaryota							
MP_E972_1T_NA128	ASV_1	42560	Eukaryota							
MP_E973_1T_NA128	ASV_1	86638	Eukaryota							
MP_E977_2T_NA128	ASV_1	18274	Eukaryota							
MP_E978_2T_NA128	ASV_1	11993	Eukaryota							
MP_E979_1T_NA128	ASV_1	79315	Eukaryota							
MP_E980_1T_NA128	ASV_1	75690	Eukaryota							
MP_E985_1T_NA128	ASV_1	13649	Eukaryota							
MP_E994_2T_NA128	ASV_1	275	Eukaryota							
MP_E995_1T_NA128	ASV_1	13484	Eukaryota							
MP_E1005_1T_NA128	ASV_1	9817	Eukaryota							
MP_E1011_2T_NA128	ASV_1	241275	Eukaryota							
MP_E1012_1T_NA128	ASV_1	96570	Eukaryota							
MP_E1013_1T_NA128	ASV_1	160100	Eukaryota							
MP_E1014_1T_NA128	ASV_1	168635	Eukaryota							
MP_E1015_1T_NA128	ASV_1	169371	Eukaryota							
MP_E1020_1T_NA128	ASV_1	104731	Eukaryota							
MP_E1021_1T_NA128	ASV_1	119726	Eukaryota							
MP_E1022_1T_NA128	ASV_1	37922	Eukaryota							
MP_E1025_1T_NA128	ASV_1	15980	Eukaryota							
MP_E1623_1B_Chaba22	ASV_1	42495	Eukaryota							
MP_E1626_1B_Chaba22	ASV_1	6403	Eukaryota							
MP_E1631_Chaba22	ASV_1	6788	Eukaryota							
MP_E2090_SKQ23_12S	ASV_1	2	Eukaryota							
MP_E2138_1T_QiavacTest	ASV_1	22979	Eukaryota							
MP_E2138_2T_QiavacTest	ASV_1	5613	Eukaryota							
MP_E2139_1T_QiavacTest	ASV_1	22826	Eukaryota							
MP_E2139_2T_QiavacTest	ASV_1	24043	Eukaryota							
MP_E2139_3T_QiavacTest	ASV_1	20837	Eukaryota							
MP_E2139_4T_QiavacTest	ASV_1	14514	Eukaryota							
MP_E2140_Kotzebue23	ASV_1	6373	Eukaryota							
MP_E668_WCOA21	ASV_10	4217	Eukaryota	Chordata	Actinopteri					
MP_E697_WCOA21	ASV_10	5195	Eukaryota	Chordata	Actinopteri					
MP_E754_WCOA21	ASV_10	5269	Eukaryota	Chordata	Actinopteri					
MP_E777_WCOA21	ASV_10	7453	Eukaryota	Chordata	Actinopteri					
MP_E806_1B_WCOA21	ASV_10	1280	Eukaryota	Chordata	Actinopteri					
MP_E815_WCOA21	ASV_10	11967	Eukaryota	Chordata	Actinopteri					
MP_E820_WCOA21	ASV_10	4492	Eukaryota	Chordata	Actinopteri					
MP_E828_WCOA21	ASV_10	9595	Eukaryota	Chordata	Actinopteri					
MP_E834_WCOA21	ASV_10	33812	Eukaryota	Chordata	Actinopteri					
MP_E882_1B_WCOA21	ASV_10	19123	Eukaryota	Chordata	Actinopteri					
MP_E897_WCOA21	ASV_10	4425	Eukaryota	Chordata	Actinopteri					
MP_E977_2T_NA128	ASV_10	1238	Eukaryota	Chordata	Actinopteri					
MP_E1005_1T_NA128	ASV_10	18	Eukaryota	Chordata	Actinopteri					
MP_E1625_1B_Chaba22	ASV_10	12784	Eukaryota	Chordata	Actinopteri					
MP_E1631_Chaba22	ASV_10	55	Eukaryota	Chordata	Actinopteri					
MP_E1635_Chaba22	ASV_10	5	Eukaryota	Chordata	Actinopteri					
MP_E2138_1T_QiavacTest	ASV_10	589	Eukaryota	Chordata	Actinopteri					
MP_E2138_2T_QiavacTest	ASV_10	435	Eukaryota	Chordata	Actinopteri					
MP_E2139_1T_QiavacTest	ASV_10	747	Eukaryota	Chordata	Actinopteri					
MP_E2139_2T_QiavacTest	ASV_10	538	Eukaryota	Chordata	Actinopteri					
MP_E2139_3T_QiavacTest	ASV_10	418	Eukaryota	Chordata	Actinopteri					
MP_E2139_4T_QiavacTest	ASV_10	294	Eukaryota	Chordata	Actinopteri					
MP_E2140_Kotzebue23	ASV_10	55916	Eukaryota	Chordata	Actinopteri					
MP_E2141_Kotzebue23	ASV_10	26139	Eukaryota	Chordata	Actinopteri					
MP_E614_WCOA21	ASV_100	261	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E678_WCOA21	ASV_100	934	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E969_1T_NA128	ASV_100	134	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E971_1T_NA128	ASV_100	1148	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E972_1T_NA128	ASV_100	14	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E979_1T_NA128	ASV_100	1085	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E980_1T_NA128	ASV_100	447	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E1011_2T_NA128	ASV_100	85	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E1012_1T_NA128	ASV_100	821	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E1022_1T_NA128	ASV_100	714	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E1024_1T_NA128	ASV_100	1539	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E1025_1T_NA128	ASV_100	25	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni	
MP_E985_1T_NA128	ASV_1000	99	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus trifascia	
MP_E985_1T_NA128	ASV_1001	99	Eukaryota	Mollusca	Gastropoda	Neolepetopsidae__o	Neolepetopsidae	Neolepetopsis	Neolepetopsis sp_	
MP_E1623_1B_Chaba22	ASV_1002	99	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae			
MP_E697_WCOA21	ASV_1003	67	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales				
MP_E1011_2T_NA128	ASV_1003	3	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales				
MP_E1632_Chaba22	ASV_1003	28	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales				
MP_E786_WCOA21	ASV_1004	98	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera		
MP_E1624_1B_Chaba22	ASV_1005	98	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Candidatus Karelsulcia__f			
MP_E1624_1B_Chaba22	ASV_1006	98	Eukaryota	Chordata	Actinopteri					
MP_E1635_Chaba22	ASV_1007	98	Eukaryota	Chordata	Actinopteri					
MP_E777_WCOA21	ASV_1008	97	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	Protoglossus	Protoglossus koehleri	
MP_E1014_1T_NA128	ASV_1009	97	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum	
MP_E619_WCOA21	ASV_101	4802	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E731_WCOA21	ASV_101	530	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E815_WCOA21	ASV_101	32	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E820_WCOA21	ASV_101	233	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E1024_1T_NA128	ASV_101	348	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E1623_1B_Chaba22	ASV_101	1205	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E2090_SKQ23_12S	ASV_101	1	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E2138_2T_QiavacTest	ASV_101	6	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E2139_1T_QiavacTest	ASV_101	13	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus		
MP_E1020_1T_NA128	ASV_1010	97	Unknown							
MP_E1623_1B_Chaba22	ASV_1011	97	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
MP_E1635_Chaba22	ASV_1012	97	Eukaryota							
MP_E2139_2T_QiavacTest	ASV_1013	97	Eukaryota	Chordata	Mammalia	Carnivora	Procyonidae	Procyon		
MP_E994_2T_NA128	ASV_1014	96	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
