dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E611_1B_WCOA21	12920	12844	12842	12834	12756	12737	98.6
MP_E614_WCOA21	102571	101939	101910	101922	101419	100882	98.4
MP_E619_WCOA21	131399	130691	130677	130661	128062	125812	95.7
MP_E624_WCOA21	58280	57949	57930	57933	57500	56070	96.2
MP_E645_WCOA21	4698	4659	4651	4649	4598	4591	97.7
MP_E668_WCOA21	32485	32288	32268	32241	31988	31895	98.2
MP_E671_WCOA21	76874	76387	76348	76343	75977	75487	98.2
MP_E678_WCOA21	50869	50603	50549	50594	50379	49881	98.1
MP_E697_WCOA21	64678	64352	64299	64339	64008	63915	98.8
MP_E731_WCOA21	60229	59949	59927	59942	59245	59003	98
MP_E754_WCOA21	63349	62930	62874	62926	62532	62158	98.1
MP_E777_WCOA21	61889	61558	61486	61497	61213	61148	98.8
MP_E782_WCOA21	25323	25203	25199	25198	25044	24880	98.3
MP_E786_WCOA21	46920	46616	46602	46605	46182	45945	97.9
MP_E790_WCOA21	31448	31206	31159	31197	31119	31089	98.9
MP_E806_1B_WCOA21	52012	51707	51678	51689	51425	49951	96
MP_E815_WCOA21	48423	48161	48140	48157	47771	47504	98.1
MP_E820_WCOA21	84753	83708	83682	83632	82563	81529	96.2
MP_E828_WCOA21	127222	126360	126292	126225	125248	124196	97.6
MP_E834_WCOA21	59963	59533	59490	59496	58505	58116	96.9
MP_E882_1B_WCOA21	139962	139316	139292	139116	137702	136189	97.3
MP_E888_WCOA21	26757	26600	26587	26498	26275	26232	98
MP_E893_WCOA21	67568	67274	67271	67252	66341	66215	98
MP_E897_WCOA21	20061	19916	19901	19905	19795	19628	97.8
MP_E902_1B_WCOA21	31059	30883	30874	30874	30499	30427	98
MP_E969_1T_NA128	291355	289857	288985	289606	278947	276597	94.9
MP_E970_1T_NA128	85705	85233	85215	85203	84555	83669	97.6
MP_E971_1T_NA128	77202	76724	76698	76703	76346	75910	98.3
MP_E972_1T_NA128	106974	106384	106353	106364	105584	104936	98.1
MP_E973_1T_NA128	184190	182980	182904	182885	180701	179169	97.3
MP_E977_2T_NA128	239454	237957	237761	237814	235427	234108	97.8
MP_E978_2T_NA128	302957	300964	300896	300901	299021	295811	97.6
MP_E979_1T_NA128	163377	162517	162502	162490	160866	159755	97.8
MP_E980_1T_NA128	158293	157465	157442	157390	112020	111428	70.4
MP_E985_1T_NA128	58227	57838	57812	57819	57445	57072	98
MP_E991_1T_NA128	176311	175344	174973	175330	172483	171489	97.3
MP_E994_2T_NA128	334477	332776	332768	332763	329075	328423	98.2
MP_E995_1T_NA128	213785	212497	212443	212412	210621	209633	98.1
MP_E996_1T_NA128	221320	219991	219933	219939	219414	218909	98.9
MP_E1005_1T_NA128	233013	231450	231329	230835	228951	228211	97.9
MP_E1011_2T_NA128	333849	331824	331782	331439	319843	312870	93.7
MP_E1012_1T_NA128	178658	177442	177115	177414	173628	171879	96.2
MP_E1013_1T_NA128	201511	200264	200242	200252	196122	195523	97
MP_E1014_1T_NA128	234858	233512	232836	233443	222852	220056	93.7
MP_E1015_1T_NA128	258572	256864	256800	256843	248733	238677	92.3
MP_E1020_1T_NA128	207765	206843	206783	206782	203083	201690	97.1
MP_E1021_1T_NA128	230203	229018	228992	228997	215019	213086	92.6
MP_E1022_1T_NA128	88182	87543	87506	87500	85294	83774	95
MP_E1024_1T_NA128	119266	118430	118248	118421	117350	117001	98.1
MP_E1025_1T_NA128	111898	111083	111024	111052	110301	109988	98.3
MP_E1623_1B_Chaba22	310398	308421	308244	308311	302618	298958	96.3
MP_E1624_1B_Chaba22	182774	181655	181587	181587	178876	177208	97
MP_E1625_1B_Chaba22	337736	335810	335581	335711	333109	326840	96.8
MP_E1626_1B_Chaba22	246160	244756	244500	244649	243110	242180	98.4
MP_E1627_1B_Chaba22	102224	101505	101365	101437	100420	99326	97.2
MP_E1631_Chaba22	360668	358459	358364	358391	355787	352688	97.8
MP_E1632_Chaba22	172760	171806	171768	171760	170718	169193	97.9
MP_E1634_Chaba22	299914	297551	297377	297502	295796	294387	98.2
MP_E1635_Chaba22	226302	225097	224956	224923	222050	220773	97.6
MP_E1637_Chaba22	93314	92595	92494	92459	90952	90709	97.2
MP_E2084_SKQ23_12S	2640	2619	2609	2611	2597	2597	98.4
MP_E2090_SKQ23_12S	24571	24360	24349	24349	24244	24236	98.6
MP_E2097_SKQ23_12S	36052	35853	35832	35827	35645	35370	98.1
MP_E2138_1T_QiavacTest	208614	206813	206691	206749	205772	198408	95.1
MP_E2138_2T_QiavacTest	21351	21231	21225	21230	21215	21195	99.3
MP_E2139_1T_QiavacTest	181153	179525	179392	179500	177267	174368	96.3
MP_E2139_2T_QiavacTest	204372	202964	202873	202840	200770	195816	95.8
MP_E2139_3T_QiavacTest	245456	243927	243861	243891	243391	240946	98.2
MP_E2139_4T_QiavacTest	219775	218138	218105	218114	216823	211679	96.3
MP_E2140_Kotzebue23	202892	201570	201489	201536	198394	197303	97.2
MP_E2141_Kotzebue23	131493	130767	130645	130694	129418	128073	97.4
MP_POSITIVE	238	236	235	235	232	232	97.5
