ASV	Multi_taxID_entry	USED
ASV_10008	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	FALSE
ASV_10038	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_10052	2302895;2302896, 2302894, 2302887, 3085199, 2812594, 3075321, 1764240, 1764237;1764239, 464278, 1522444, 284968, 156122;284971	FALSE
ASV_10165	426078;426079;426080;426081;426082, 299778	FALSE
ASV_10181	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
ASV_10210	1859836;1859880, 1859795;1859893, 1859765;1859767, 1859738;1859749;1859797	TRUE
ASV_10236	1816782, 1524187, 1524186, 627963;1816783, 549348, 549345;1516112, 549349, 549347, 549346, 549343, 549342, 368449, 215587, 3030862	FALSE
ASV_10246	2903, 38817, 1856765, 1856766, 280463, 2903;38817;1663125, 38817;284784;284790, 2903;38817, 44459	FALSE
ASV_10343	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
ASV_10382	72677, 2496629, 1905723, 1965466, 237471, 237471;1905723, 66473	FALSE
ASV_10414	2884263, 2201156;2884263, 1869227	FALSE
ASV_10675	409302, 48146, 1761466, 210626, 169011, 159567;159570, 159566, 3092289, 3092287, 3092284, 48144, 159567, 329973, 3105985, 149074, 209423, 338211, 210625	FALSE
ASV_10690	114156;114157	TRUE
ASV_107	1905833, 3075301, 236787, 464225, 1606603, 1606602, 236787;1411684, 669373	FALSE
ASV_1073	1714380, 1606541, 1411661, 722754;1714387	FALSE
ASV_10798	2592182, 2592181, 2592180, 35677, 1764904, 35677;44463, 44462, 35679	FALSE
ASV_108	1925337, 1229643;1229644;1229645	FALSE
ASV_10824	1714380, 1606541, 1411661, 722754;1714387	FALSE
ASV_10852	1840506, 1911418, 128131, 168767, 2039479, 1859706;1859708, 168724, 1193141, 880219	FALSE
ASV_1086	576748, 264121, 256004;264121	FALSE
ASV_10871	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_10954	1859752;1859760	TRUE
ASV_10998	2592182, 2592181, 2592180, 35677, 1764904, 35677;44463, 35679	FALSE
ASV_11014	5482, 52253, 5476, 52253;1853550, 1115047, 436011, 385480, 380744, 379326, 378043, 344175, 344174, 344173, 1853550	FALSE
ASV_11021	2058846;2058847;2058848;2058849, 569958, 569955, 136459	FALSE
ASV_11089	1689237, 181122;2315894	FALSE
ASV_11101	2586235, 2586233, 2586230;2586231;2586232, 2586226;2586227;2586228;2586229	FALSE
ASV_11103	44056, 35677, 35677;44463	FALSE
ASV_11139	7604, 7602, 136941, 7603, 136985;136987, 7616;59564, 7611;189915	FALSE
ASV_11163	41300, 619272, 619271, 619270, 614189, 226320, 312044, 225408, 221626;265276;265277, 133490, 178343	FALSE
ASV_11204	72677, 2496629, 1905723, 237471, 237471;1905723	FALSE
ASV_11226	143670, 2292165, 106543, 1695222, 1691974, 2578210, 71861, 1652117, 1655535, 1655529, 1333877, 1691973, 1239451, 631048, 858356, 427755, 284798;284799;284802, 284797	FALSE
ASV_1124	1804765, 2528238, 2528234;2528236, 2528233, 2528232;2528235, 2528231, 2528230, 364747, 476440, 1155431, 265592	FALSE
ASV_11262	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	FALSE
ASV_11282	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	FALSE
ASV_11511	143670, 2292165, 106543, 1695222, 1691974, 71861, 1652117, 1655535, 1655529, 1691973, 1239451, 631048, 858356, 284798;284799;284802, 284797	FALSE
ASV_11525	691888, 1365872, 82379, 72733, 1443620, 105881;462866;462868, 331079, 105881, 55643	FALSE
ASV_1154	1816782, 1524187, 1524186, 627963;1816783, 549348, 549345;1516112, 549349, 549347, 549346, 549343, 549342, 368449, 215587, 3030862	FALSE
ASV_11554	2015012, 1425172, 592142, 502081;717064, 352448	FALSE
ASV_1156	2558189, 862914, 2029595, 61848, 1874995, 1874992;1874994, 880884, 2720202, 2800453, 2800450, 2800449, 2800448, 2800447, 2800443, 1210407, 862926, 1210406, 1210405, 222003, 328594	FALSE
ASV_11562	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	FALSE
ASV_11564	1816782, 1524187, 1524186, 627963;1816783, 549348, 549345;1516112, 549349, 549347, 549346, 549343, 549342, 368449, 215587, 3030862	FALSE
ASV_11575	394801;497729	TRUE
ASV_11618	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
ASV_11642	39450, 1905723, 1905723;2315413, 39449, 2364126, 3075827, 2968077, 71860, 3019568, 2820087, 1290334, 2902008, 35672	FALSE
ASV_11670	33642;1662657	TRUE
ASV_11724	39450, 2576346, 1905723, 1905723;2315413, 39449, 2364126, 3075827, 2968077, 1918384, 71860, 3019568, 2820087, 1290334, 2902008, 35672	FALSE
ASV_11752	704171, 46947;704171, 265869	FALSE
ASV_11814	72677, 2496629, 1905723, 237471, 237471;1905723, 66473	FALSE
ASV_11856	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
ASV_11880	38273, 38273;344910	FALSE
ASV_11907	111653, 1312527, 249218, 172817;249217, 172817, 249210, 188011, 249203, 201552, 324491, 201558	FALSE
ASV_11915	1873500, 446684, 1122133, 446684;1122133	FALSE
ASV_12001	2302895;2302896, 2302894, 2302887, 3085199, 2812594, 3075321, 1764240, 1764237;1764239, 464278, 1522444, 284968, 156122;284971	FALSE
ASV_12132	143670, 2292165, 106543, 1695222, 1691974, 71861, 1652117, 1655535, 1655529, 1691973, 1239451, 631048, 858356, 284798;284799;284802, 284797	FALSE
ASV_12169	88149, 2724434, 80365, 2872, 169771, 105414, 105407, 2691979, 416830, 105404, 88149;88154	FALSE
ASV_12197	260685, 2303287, 1290334, 257771, 257771;260685	FALSE
ASV_12208	77931, 47934;77931;704171;1123954, 150622, 437763;704171, 265870, 47934;120300;146760;150623;447208;497816	FALSE
ASV_12218	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_1222	77931, 47934;77931;704171;1123954, 150622, 437763;704171, 265870, 47934;120300;146760;150623;447208;497816	FALSE
ASV_12221	4881;1882203;1882204	TRUE
ASV_12247	4881;1882203;1882204, 251741, 4881	FALSE
ASV_12280	44056, 35677, 35677;44463	FALSE
ASV_12294	1714380, 1606541, 1411661, 722754;1714387	FALSE
