ASVs_new	ASVs_original
ASV_1	ASV_3;ASV_1
ASV_2	ASV_1;ASV_2
ASV_3	ASV_2;ASV_4
ASV_4	NA;ASV_3
ASV_5	ASV_4;ASV_5
ASV_6	ASV_6;ASV_6
ASV_7	ASV_7;ASV_12
ASV_8	ASV_5;ASV_40
ASV_9	ASV_11;ASV_10
ASV_10	ASV_15;ASV_9
ASV_11	ASV_9;ASV_15
ASV_12	ASV_12;ASV_16
ASV_13	ASV_22;ASV_11
ASV_14	ASV_8;ASV_54
ASV_15	ASV_10;ASV_30
ASV_16	ASV_20;ASV_21
ASV_17	ASV_16;ASV_31
ASV_18	ASV_21;ASV_22
ASV_19	ASV_13;ASV_37
ASV_20	ASV_17;ASV_28
ASV_21	ASV_18;ASV_26
ASV_22	ASV_30;ASV_17
ASV_23	ASV_37;ASV_13
ASV_24	ASV_28;ASV_24
ASV_25	NA;ASV_7
ASV_26	ASV_19;ASV_43
ASV_27	ASV_1556;ASV_8
ASV_28	ASV_47;ASV_20
ASV_29	ASV_14;ASV_96
ASV_30	ASV_36;ASV_25
ASV_31	ASV_24;ASV_42
ASV_32	ASV_31;ASV_33
ASV_33	ASV_35;ASV_32
ASV_34	ASV_40;ASV_27
ASV_35	ASV_23;ASV_55
ASV_36	ASV_64;ASV_18
ASV_37	ASV_33;ASV_36
ASV_38	ASV_32;ASV_39
ASV_39	ASV_79;ASV_19
ASV_40	ASV_38;ASV_41
ASV_41	ASV_25;ASV_82
ASV_42	ASV_255;ASV_14
ASV_43	ASV_56;ASV_34
ASV_44	ASV_34;ASV_59
ASV_45	ASV_43;ASV_51
ASV_46	ASV_49;ASV_48
ASV_47	ASV_26;ASV_100
ASV_48	ASV_191;ASV_23
ASV_49	ASV_48;ASV_52
ASV_50	ASV_44;ASV_57
ASV_51	ASV_41;ASV_60
ASV_52	ASV_61;ASV_45
ASV_53	ASV_29;ASV_171
ASV_54	ASV_684;ASV_29
ASV_55	ASV_27;ASV_662
ASV_56	ASV_112;ASV_38
ASV_57	ASV_39;ASV_113
ASV_58	ASV_53;ASV_67
ASV_59	ASV_58;ASV_61
ASV_60	ASV_90;ASV_47
ASV_61	ASV_51;ASV_88
ASV_62	ASV_622;ASV_35
ASV_63	ASV_54;ASV_74
ASV_64	ASV_55;ASV_75
ASV_65	ASV_70;ASV_63
ASV_66	ASV_50;ASV_131
ASV_67	ASV_52;ASV_108
ASV_68	ASV_42;ASV_247
ASV_69	ASV_158;ASV_49
ASV_70	ASV_88;ASV_64
ASV_71	ASV_215;ASV_46
ASV_72	ASV_45;ASV_327
ASV_73	ASV_46;ASV_286
ASV_74	ASV_82;ASV_66
ASV_75	ASV_71;ASV_76
ASV_76	ASV_197;ASV_50
ASV_77	ASV_121;ASV_53
ASV_78	ASV_60;ASV_105
ASV_79	ASV_66;ASV_84
ASV_80	ASV_59;ASV_111
ASV_81	NA;ASV_44
ASV_82	ASV_67;ASV_89
ASV_83	ASV_101;ASV_65
ASV_84	ASV_57;ASV_142
ASV_85	ASV_62;ASV_116
ASV_86	ASV_75;ASV_85
ASV_87	ASV_84;ASV_80
ASV_88	ASV_68;ASV_107
ASV_89	ASV_87;ASV_79
ASV_90	ASV_78;ASV_93
ASV_91	ASV_76;ASV_99
ASV_92	ASV_102;ASV_72
ASV_93	ASV_89;ASV_94
ASV_94	ASV_74;ASV_112
ASV_95	ASV_133;ASV_69
ASV_96	ASV_113;ASV_73
ASV_97	ASV_63;ASV_172
ASV_98	ASV_93;ASV_91
ASV_99	ASV_83;ASV_109
ASV_100	ASV_115;ASV_78
ASV_101	ASV_116;ASV_77
ASV_102	ASV_65;ASV_177
ASV_103	ASV_72;ASV_157
ASV_104	NA;ASV_56
ASV_105	ASV_69;ASV_180
ASV_106	ASV_80;ASV_133
ASV_107	ASV_95;ASV_101
ASV_108	ASV_86;ASV_123
ASV_109	ASV_92;ASV_110
ASV_110	ASV_73;ASV_189
ASV_111	ASV_1803;ASV_58
ASV_112	ASV_77;ASV_168
ASV_113	NA;ASV_62
ASV_114	ASV_123;ASV_97
ASV_115	ASV_363;ASV_70
ASV_116	ASV_151;ASV_86
ASV_117	ASV_124;ASV_104
ASV_118	ASV_614;ASV_68
ASV_119	ASV_91;ASV_191
ASV_120	ASV_97;ASV_138
ASV_121	ASV_147;ASV_95
ASV_122	ASV_81;ASV_222
ASV_123	ASV_96;ASV_144
ASV_124	NA;ASV_71
ASV_125	ASV_131;ASV_106
ASV_126	ASV_171;ASV_98
ASV_127	ASV_276;ASV_81
ASV_128	ASV_85;ASV_255
ASV_129	ASV_103;ASV_156
ASV_130	ASV_100;ASV_173
ASV_131	ASV_105;ASV_162
ASV_132	ASV_232;ASV_92
ASV_133	ASV_108;ASV_165
ASV_134	ASV_398;ASV_83
ASV_135	ASV_334;ASV_87
ASV_136	ASV_145;ASV_119
ASV_137	ASV_134;ASV_129
ASV_138	ASV_104;ASV_195
ASV_139	ASV_111;ASV_176
ASV_140	ASV_125;ASV_137
ASV_141	ASV_118;ASV_150
ASV_142	ASV_327;ASV_90
ASV_143	ASV_119;ASV_163
ASV_144	ASV_177;ASV_120
ASV_145	ASV_117;ASV_192
ASV_146	ASV_99;ASV_268
ASV_147	ASV_132;ASV_147
ASV_148	ASV_127;ASV_155
ASV_149	ASV_188;ASV_117
ASV_150	ASV_98;ASV_290
