dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E27_1B_DY20	20669	18167	18147	18147	17992	17905	86.6
MP_E36_1B_DY20	247381	222884	220834	221333	194337	165096	66.7
MP_E36_2B_DY20	235677	212071	209943	210341	179990	143168	60.7
MP_E53_1B_DY20	363488	331028	328004	329115	294670	250173	68.8
MP_E54_1B_DY20	330640	307411	305288	305451	276957	236653	71.6
MP_E235_1B_NO20	280119	257449	256360	256393	242881	222179	79.3
MP_E235_2B_NO20	292061	269026	268494	268506	262563	252793	86.6
MP_E235_3B_NO20	255186	236997	235872	236096	222253	199272	78.1
MP_E236_1B_NO20	265178	244381	243917	243939	236685	222118	83.8
MP_E236_2B_NO20	265689	246340	245734	245856	238620	215115	81
MP_E239_1B_NO20	257375	235601	234475	234759	220552	188830	73.4
MP_E241_2B_NO20	285811	265860	265232	265389	258616	232795	81.5
MP_E243_1B_NO20	279295	258480	257322	257480	243041	214213	76.7
MP_E243_2B_NO20	302426	270547	269593	269564	255586	224662	74.3
MP_E244_1B_NO20	300091	279224	278492	278618	269629	246773	82.2
MP_E244_2B_NO20	290713	270406	269492	269692	257347	223710	77
MP_E245_1B_NO20	308060	284729	283750	283987	272798	238328	77.4
MP_E245_2B_NO20	258631	225807	224957	225138	213080	182681	70.6
MP_E246_1B_NO20	326113	301729	300664	300793	287954	250535	76.8
MP_E246_2B_NO20	294974	265277	264739	264722	255252	230344	78.1
MP_E247_1B_NO20	255126	236535	235519	235717	225917	193706	75.9
MP_E247_2B_NO20	258933	241115	240155	240349	231564	200360	77.4
MP_E248_1B_NO20	311530	287870	286278	286944	269170	230577	74
MP_E248_2B_NO20	236102	220213	219190	219588	208790	187286	79.3
MP_E249_1B_NO20	215460	198117	197201	197411	187046	163146	75.7
MP_E249_2B_NO20	279036	261451	260140	260503	248740	214431	76.8
MP_E251_1B_NO20	302305	279359	278386	278565	267675	230985	76.4
MP_E251_2B_NO20	280544	261177	260360	260418	249257	210860	75.2
MP_E252_2B_NO20	299209	278714	277724	277906	268604	237598	79.4
MP_E253_NO20	240622	223050	222229	222505	213689	181188	75.3
MP_E254_NO20	245854	228084	227124	227481	216401	188062	76.5
MP_E255_1B_NO20	289204	268703	267329	267779	252364	226858	78.4
MP_E255_2B_NO20	254817	235047	234462	234489	226709	210168	82.5
MP_E256_1B_NO20	188027	166667	166222	166194	160775	145162	77.2
MP_E256_2B_NO20	312437	289952	288616	289069	274389	238856	76.4
MP_E257_1B_NO20	263417	245187	243616	243934	225532	201213	76.4
MP_E257_2B_NO20	143041	75608	75212	75242	68087	60996	42.6
MP_E258_2B_NO20	273976	253801	253068	253275	245391	217518	79.4
MP_E259_1B_NO20	309952	286216	284857	285120	272462	260747	84.1
MP_E260_1B_NO20	230528	197878	197407	197441	191526	175736	76.2
MP_E261_1B_NO20	339742	312612	310544	311236	292084	254750	75
MP_E261_2B_NO20	306735	284485	282767	283152	266661	239567	78.1
MP_E263_2B_NO20	224876	207006	205779	206147	195523	173852	77.3
MP_E269_2B_NO20	239463	205088	204015	204070	187315	173126	72.3
MP_E270_1B_NO20	243364	194472	193912	193932	187546	180921	74.3
MP_E271_1B_NO20	313285	281170	279504	279534	254612	230274	73.5
MP_E271_2B_NO20	340014	317250	314876	315472	287778	258041	75.9
MP_E275_1B_NO20	221703	201031	200118	200262	190584	176750	79.7
MP_E276_2B_NO20	368477	331525	330210	330425	312252	295603	80.2
MP_E277_3B_NO20	300524	278131	276856	277090	265298	250735	83.4
MP_E278_1B_NO20	105382	90268	90193	90210	89780	89665	85.1
MP_E280_1B_NO20	152941	140976	140812	140870	139656	139333	91.1
MP_E284_3B_NO20	213011	185593	185274	185104	183516	182270	85.6
MP_E288_2B_NO20	305549	282603	279670	280304	246668	221077	72.4
MP_E289_1B_NO20	269588	249798	247807	248427	227997	207193	76.9
MP_E290_1B_NO20	320601	297220	295380	295781	275974	253917	79.2
MP_E291_2B_NO20	298567	276156	274802	275189	260858	245851	82.3
MP_E292_2B_NO20	279474	259655	257831	258165	232932	204969	73.3
MP_E295_2B_NO20	239090	220971	219539	219945	203111	183251	76.6
MP_E295_3B_NO20	377172	350290	348234	348840	324184	289677	76.8
MP_E296_1B_NO20	263162	234295	233120	233087	214418	192729	73.2
MP_E296_2B_NO20	329841	301662	300284	300369	278759	251962	76.4
MP_E296_3B_NO20	270951	248798	247448	247557	227031	202892	74.9
MP_E299_2B_NO20	278674	256495	254099	254689	229410	203620	73.1
MP_E299_3B_NO20	202584	182091	180834	180868	163784	150443	74.3
MP_E300_1B_NO20	233447	218193	216381	216697	193805	170472	73
MP_E300_3B_NO20	346243	316759	315311	315112	295508	273972	79.1
MP_E24_NC_DY20	662	618	618	618	618	618	93.4
MP_E41_NC_DY20	28746	26084	26076	26058	25995	25991	90.4
MP_E56_NC_DY20	2858	2646	2643	2646	2629	2626	91.9
MP_E73_NC_DY20	283455	264408	264019	263837	260630	253075	89.3
MP_E232_NC_NO20	10397	9670	9666	9656	9649	9598	92.3
MP_E301_NC_NO20	12603	11609	11608	11603	11561	11524	91.4
MP_POSITIVE	24846	23112	23111	23112	23069	23067	92.8
