x	MP_E25_2B_DY20	MP_E26_1B_DY20	MP_E26_2B_DY20	MP_E27_1B_DY20	MP_E27_2B_DY20	MP_E28_1B_DY20	MP_E28_2B_DY20	MP_E29_1B_DY20	MP_E29_2B_DY20	MP_E30_1B_DY20	MP_E30_2B_DY20	MP_E31_1B_DY20	MP_E31_2B_DY20	MP_E32_1B_DY20	MP_E32_2B_DY20	MP_E33_1B_DY20	MP_E33_2B_DY20	MP_E34_1B_DY20	MP_E34_2B_DY20	MP_E35_1B_DY20	MP_E35_2B_DY20	MP_E36_1B_DY20	MP_E36_2B_DY20	MP_E37_1B_DY20	MP_E37_2B_DY20	MP_E38_1B_DY20	MP_E38_2B_DY20	MP_E39_1B_DY20	MP_E39_2B_DY20	MP_E40_1B_DY20	MP_E40_2B_DY20	MP_E42_1B_DY20	MP_E42_2B_DY20	MP_E43_1B_DY20	MP_E43_2B_DY20	MP_E44_DY20	MP_E45_1B_DY20	MP_E45_2B_DY20	MP_E46_1B_DY20	MP_E46_2B_DY20	MP_E47_1B_DY20	MP_E47_2B_DY20	MP_E48_1B_DY20	MP_E48_2B_DY20	MP_E49_1B_DY20	MP_E49_2B_DY20	MP_E50_1B_DY20	MP_E50_2B_DY20	MP_E51_1B_DY20	MP_E51_2B_DY20	MP_E52_1B_DY20	MP_E52_2B_DY20	MP_E53_1B_DY20	MP_E53_2B_DY20	MP_E54_1B_DY20	MP_E54_2B_DY20	MP_E55_1B_DY20	MP_E55_2B_DY20	MP_E57_1B_DY20	MP_E57_2B_DY20	MP_E58_1B_DY20	MP_E58_2B_DY20	MP_E59_1B_DY20	MP_E59_2B_DY20	MP_E60_1B_DY20	MP_E60_2B_DY20	MP_E61_1B_DY20	MP_E61_2B_DY20	MP_E62_1B_DY20	MP_E62_2B_DY20	MP_E63_1B_DY20	MP_E63_2B_DY20	MP_E64_1B_DY20	MP_E64_2B_DY20	MP_E65_1B_DY20	MP_E65_2B_DY20	MP_E66_1B_DY20	MP_E66_2B_DY20	MP_E67_1B_DY20	MP_E67_2B_DY20	MP_E68_1B_DY20	MP_E68_2B_DY20	MP_E69_2B_DY20	MP_E70_1B_DY20	MP_E70_2B_DY20	MP_E71_1B_DY20	MP_E71_2B_DY20	MP_E72_1B_DY20	MP_E72_2B_DY20	MP_E233_1B_NO20	MP_E233_2B_NO20	MP_E234_1B_NO20	MP_E234_2B_NO20	MP_E234_3B_NO20	MP_E235_1B_NO20	MP_E235_2B_NO20	MP_E235_3B_NO20	MP_E236_1B_NO20	MP_E236_2B_NO20	MP_E236_3B_NO20	MP_E237_1B_NO20	MP_E237_2B_NO20	MP_E238_1B_NO20	MP_E238_2B_NO20	MP_E239_1B_NO20	MP_E239_2B_NO20	MP_E240_1B_NO20	MP_E240_2B_NO20	MP_E241_1B_NO20	MP_E241_2B_NO20	MP_E242_1B_NO20	MP_E242_2B_NO20	MP_E243_1B_NO20	MP_E243_2B_NO20	MP_E244_1B_NO20	MP_E244_2B_NO20	MP_E245_1B_NO20	MP_E245_2B_NO20	MP_E246_1B_NO20	MP_E246_2B_NO20	MP_E247_1B_NO20	MP_E247_2B_NO20	MP_E248_1B_NO20	MP_E248_2B_NO20	MP_E249_1B_NO20	MP_E249_2B_NO20	MP_E250_1B_NO20	MP_E250_2B_NO20	MP_E251_1B_NO20	MP_E251_2B_NO20	MP_E252_1B_NO20	MP_E252_2B_NO20	MP_E253_NO20	MP_E254_NO20	MP_E255_1B_NO20	MP_E255_2B_NO20	MP_E256_1B_NO20	MP_E256_2B_NO20	MP_E257_1B_NO20	MP_E257_2B_NO20	MP_E258_1B_NO20	MP_E258_2B_NO20	MP_E259_1B_NO20	MP_E259_2B_NO20	MP_E260_1B_NO20	MP_E260_2B_NO20	MP_E261_1B_NO20	MP_E261_2B_NO20	MP_E262_1B_NO20	MP_E262_2B_NO20	MP_E263_2B_NO20	MP_E264_1B_NO20	MP_E264_2B_NO20	MP_E265_1B_NO20	MP_E265_2B_NO20	MP_E266_1B_NO20	MP_E266_2B_NO20	MP_E267_1B_NO20	MP_E267_2B_NO20	MP_E268_1B_NO20	MP_E268_2B_NO20	MP_E269_1B_NO20	MP_E269_2B_NO20	MP_E270_1B_NO20	MP_E270_2B_NO20	MP_E271_1B_NO20	MP_E271_2B_NO20	MP_E272_1B_NO20	MP_E272_2B_NO20	MP_E273_1B_NO20	MP_E273_2B_NO20	MP_E274_1B_NO20	MP_E274_2B_NO20	MP_E275_1B_NO20	MP_E275_2B_NO20	MP_E276_1B_NO20	MP_E276_2B_NO20	MP_E277_1B_NO20	MP_E277_2B_NO20	MP_E277_3B_NO20	MP_E278_2B_NO20	MP_E278_3B_NO20	MP_E279_1B_NO20	MP_E279_2B_NO20	MP_E280_1B_NO20	MP_E280_2B_NO20	MP_E280_3B_NO20	MP_E281_1B_NO20	MP_E281_2B_NO20	MP_E281_3B_NO20	MP_E282_1B_NO20	MP_E282_2B_NO20	MP_E282_3B_NO20	MP_E283_1B_NO20	MP_E283_2B_NO20	MP_E283_3B_NO20	MP_E284_1B_NO20	MP_E284_2B_NO20	MP_E284_3B_NO20	MP_E285_1B_NO20	MP_E285_2B_NO20	MP_E285_3B_NO20	MP_E286_1B_NO20	MP_E286_2B_NO20	MP_E286_3B_NO20	MP_E287_1B_NO20	MP_E287_2B_NO20	MP_E287_3B_NO20	MP_E288_1B_NO20	MP_E288_2B_NO20	MP_E289_1B_NO20	MP_E289_2B_NO20	MP_E289_3B_NO20	MP_E290_1B_NO20	MP_E290_2B_NO20	MP_E290_3B_NO20	MP_E291_1B_NO20	MP_E291_2B_NO20	MP_E291_3B_NO20	MP_E292_1B_NO20	MP_E292_2B_NO20	MP_E292_3B_NO20	MP_E293_1B_NO20	MP_E293_2B_NO20	MP_E293_3B_NO20	MP_E294_1B_NO20	MP_E294_2B_NO20	MP_E294_3B_NO20	MP_E295_1B_NO20	MP_E295_2B_NO20	MP_E295_3B_NO20	MP_E296_1B_NO20	MP_E296_2B_NO20	MP_E296_3B_NO20	MP_E297_1B_NO20	MP_E297_2B_NO20	MP_E297_3B_NO20	MP_E298_1B_NO20	MP_E298_2B_NO20	MP_E298_3B_NO20	MP_E299_1B_NO20	MP_E299_2B_NO20	MP_E299_3B_NO20	MP_E300_1B_NO20	MP_E300_2B_NO20	MP_E300_3B_NO20	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E687_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_E41_NC_DY20	MP_E56_NC_DY20	MP_E73_NC_DY20	MP_E232_NC_NO20	MP_E301_NC_NO20	MP_POSITIVE
ASV_1	16731	102	1036	0	774	15517	30680	38127	39539	580	435	17820	39686	1132	4863	2305	11430	4007	4453	23078	17924	1029	1343	7217	25055	3760	4953	5164	4318	6066	2573	8649	13135	9255	8153	6455	1694	6502	1601	6328	2528	3210	5967	11662	12851	6783	16573	7469	3951	4176	22582	9956	12381	6596	15223	15649	6638	6198	28725	12581	2908	2059	1539	1825	1438	1681	2821	3328	1980	1041	7214	7998	1325	1229	55527	29573	16965	12750	28412	21000	1537	2337	34360	2298	2253	9388	25397	9184	7564	4547	3451	4247	2185	4291	1615	6042	2777	5419	2851	1744	4759	4377	2741	6003	4315	2944	4613	10930	7362	6822	36558	56248	4692	5375	49310	64361	12590	11427	60415	118901	12779	5953	120426	118958	5636	5862	97481	94462	8306	6529	70457	60234	11429	56872	14591	19101	61401	81826	16494	20535	56220	42899	11694	14452	27725	33037	7504	6643	41452	64345	8735	27483	22006	8541	13986	23033	35951	15627	17539	15424	17009	27570	27216	6112	10560	22650	21875	17081	14703	17492	14168	25780	24482	3255	6445	45089	33936	2570	4538	5673	47108	36058	7341	5604	2534	32513	10215	3333	2548	3886	46494	56571	34364	2045	8453	4756	45442	26645	18254	11809	9954	11868	22508	27041	17999	18508	10937	14291	17137	34588	24717	23283	29099	20261	54838	35377	40944	47504	42664	35632	40846	48539	27325	26202	30785	25632	35810	27034	31485	33735	46705	46185	33717	30689	26010	24443	46544	38054	53410	24085	27455	30574	25812	29377	25515	33771	60	4	370	49	30	753	1325	689	950	518	74	13	163	524	14	24	128	287	205	708	10	10	1166	8	199	69	646	1060	1472	175	743	489	389	34	967	276	396	108	1118	193	31	45	336	27	147	66	80	71	376	566	472	414	1284	70	1723	780	363	802	606	493	760	1506	5583	5105	30	3	0	18	0	8	8	0	0	1	0	1	0	0
ASV_10	2564	32	404	0	79	6303	5511	11322	11698	300	27	2827	6151	310	995	3293	2940	995	395	16138	14363	215	1369	8141	12626	264	348	2552	2670	4634	2049	3188	2453	2223	1987	1643	8151	13322	18478	12736	3012	2046	474	769	351	382	41	145	41	189	1258	1418	368	819	2973	2760	1051	784	1022	708	134	302	954	816	62	0	838	855	104	277	753	670	1950	1226	77	323	140	235	691	761	328	279	121	247	115	20770	23493	2996	1487	90	0	186	201	362	50	111	166	210	4	10	230	211	36	61	53	70	74	408	8	140	249	203	423	89	18	33	73	817	0	15	372	153	49	21	33	8	17	105	7	20	38	172	54	83	342	299	759	329	1288	1154	1594	890	744	559	5158	8642	192	682	707	418	508	180	360	631	410	248	290	1949	2203	1884	2188	1527	1228	1842	980	2049	1066	1905	1248	3160	4480	912	1438	500	313	800	237	866	663	207	1073	1808	201	1540	107	811	1669	400	1536	1045	8331	3036	12248	1094	1631	687	12483	6239	706	1907	1819	2121	13396	9508	20974	3311	3034	2564	4235	3943	6335	8070	3348	8339	10542	5975	16444	15468	13614	20339	13901	19899	8718	11420	7490	8118	12891	13793	22223	24196	24011	24654	24669	18555	4562	5144	7192	16818	10298	13511	5715	4435	3292	4226	3662	3410	0	0	0	82	0	254	11	82	3162	2	0	105	7	16	3	54	331	23	39	39	5	0	0	3	131	56	0	19	89	0	504	0	62	5	6	708	4	24	2	0	1	0	0	3	0	0	10	99	2	234	179	545	577	2314	0	77	1709	304	4697	29	3072	0	4	29	21	0	3	0	59	1	3	54	0	0	0	0	0	0
ASV_100	0	40	489	0	84	222	5	0	0	1	0	0	0	0	3	0	71	0	199	0	0	184	117	136	363	0	1	166	189	73	165	11	0	273	273	761	2	8	5	8	234	266	7	4	479	722	12	2	179	320	0	0	29	8	15	22	120	14	10183	7433	1146	1451	6716	4471	235	68	7338	8814	134	232	5464	6776	844	384	1280	1598	547	486	8942	5278	211	390	1343	15	6	0	0	69	199	3807	6814	1572	1984	44	37577	29677	27956	6167	7431	16395	19851	3656	17346	3202	4495	7492	965	1490	585	612	1334	1030	62	89	38	229	23	265	265	159	121	64	331	74	49	35	601	291	852	404	164	235	445	298	380	2408	365	613	1	26	0	0	42	87	0	0	21	143	0	16	100	2	2	150	733	1	3	43	11	4	15	45	54	246	67	64	86	439	51	119	62	16	44	0	18	0	1	15	4	0	0	27	0	134	0	0	0	255	34	333	4	194	88	120	105	218	211	841	20	38	95	16	0	0	0	219	134	130	263	463	0	11	0	15	79	28	162	465	194	37	100	154	69	234	123	195	32	43	1052	705	227	543	539	515	87	139	41	0	35	8	268	914	346	790	300	715	0	0	2	0	0	0	0	0	12	0	0	3	14	0	2	33	23	1	313	1	0	33	9	0	0	104	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	507	0	0	0	0	0	0	1	0	18	0	0	0	50	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	27	0	0	0	131	4	24	0	0	0	8	15	4	15	31	174	62	9	0	0	31	0	0	2	0	14	1	10	5	0	0	0	0	0	0	4	0	0	0	6	29	0	0	40	37	7	0	2	20	0	0	0	1	0	146	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	32	8	0	0	0	389	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	2	0	0	39	26	0	0	151	0	0	3	794	0	0	19	15	27	20	2	0	0	0	0	0	0	0	5	4	0	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	38	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10000	2000	7181	27852	11835	39787	5604	4124	7856	3528	15459	10793	1568	3613	40875	56815	3828	1762	40729	41368	5378	3362	47518	50300	2116	2680	38308	41410	14609	16723	16353	13599	8695	7656	26983	24779	16518	900	2711	1862	4945	15888	14597	20861	21621	25594	23097	21321	18487	20161	14908	35586	28190	29979	34083	30050	30992	35893	34629	9591	3589	37993	29321	1298	1587	10695	12412	1137	1870	17397	20027	3618	2882	23718	23607	11792	9765	9184	12427	6044	4002	21589	24742	4270	44992	29835	19394	21078	37800	30526	27343	25286	4128	3349	11950	20614	14875	18572	11479	5911	8577	27320	6269	27424	4118	27096	28514	6961	11523	29333	26152	4885	2914	51136	50671	4394	10097	32343	48333	7020	6412	42135	39007	9082	6505	49055	63048	6081	4313	36863	33668	4415	3878	36792	6384	31621	31534	14576	15142	48881	44542	16444	21668	31480	44135	3936	5901	16785	23256	4965	12446	29150	14414	8693	25360	28464	6800	7892	20290	13608	15149	15115	25505	28949	3619	9992	32817	32806	20890	17146	20407	20909	25683	20667	36230	34112	25928	26766	58030	75830	66965	32914	34537	42283	48787	1394	14321	13904	41050	54389	52371	31402	28654	33627	41172	66728	76226	25991	28776	959	47089	38526	48716	16122	17459	19431	47411	32794	38516	23984	42573	29687	31114	15920	26843	20654	26377	41298	36709	30914	34010	32409	36576	45433	58044	44527	52513	45344	51238	40860	45739	38489	44610	49003	33044	22944	27747	47579	28239	31381	29718	38260	35532	32867	30755	30025	43178	18723	12873	40716	8875	21869	16968	12007	18627	6569	19316	25111	4490	20706	12507	24467	23942	7108	20651	15490	35277	43880	7534	12688	8945	12280	6477	31565	32008	21548	9314	18833	29237	34432	8434	17922	21960	6755	27208	28193	51091	46936	4358	6238	20682	11214	11339	29673	24763	16677	26151	15999	64524	44320	3390	38455	55643	10787	34047	10712	36511	13085	4579	3438	6554	9074	4	8012	4270	4316	1738	20283	3944	2	3	4	0	47	2
ASV_10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10002	840	9	162	573	1030	1409	1527	6165	3642	204	299	911	1026	3534	1775	4695	4128	1854	1130	3379	1768	1990	1680	3480	3687	569	557	5383	5644	12476	5487	26602	27449	4538	4810	6098	4779	5349	4346	7152	3853	3798	17675	20253	1095	1066	14629	12056	3625	4177	19796	18086	1888	2782	14114	16485	2253	3194	1976	1940	1616	2371	2293	2156	419	516	2357	2146	581	588	2332	770	314	595	8209	9208	1931	2002	3836	6038	1170	1061	6572	1617	1434	14635	16894	4661	3849	303	360	1296	1081	318	735	635	840	2982	646	1455	1655	234	610	414	1536	585	480	1153	166	1948	3517	2310	1134	2841	2920	3722	1263	3747	3838	3017	3535	2659	4578	3455	697	531	5162	2630	741	567	2679	3829	1487	304	1712	2268	5002	5093	4766	7722	1730	2103	1952	1507	3790	5140	848	804	4364	6639	2984	3982	5110	7130	11954	6835	7941	450	1327	755	640	1122	732	522	737	1829	2172	1690	1322	1522	1125	4640	1298	1590	2157	26776	20224	574	1560	562	10072	13342	1703	2176	2241	36360	45680	1617	2919	3916	5516	5439	4321	1536	3861	3468	5010	3112	7	812	1575	1521	3910	3849	7742	5099	3884	5871	5411	8524	1604	3921	1893	5714	5760	3306	4609	6237	3317	6480	6178	6819	1885	2059	1622	2090	3239	3449	14020	13114	12504	13709	12040	10789	3117	2630	5724	5033	6430	4373	4336	7405	6077	5041	5312	12422	817	2883	4490	109	3516	3128	532	2090	625	6947	19357	39	2790	321	3422	9292	115	408	1567	920	546	1179	3344	586	3221	220	477	1600	1371	1783	1712	3431	7135	2863	7410	5892	1991	712	1462	1046	622	36	1058	371	702	319	3087	875	1387	2804	265	1091	8983	677	471	3590	1053	549	988	2510	970	3	15	261	2605	0	903	484	1682	486	718	772	2	0	1	0	1	0
ASV_10003	332	442	1882	1164	4455	2172	2836	2470	6201	3485	1500	1257	1189	5344	7854	100	338	8259	4583	1549	1284	8724	11294	1942	2214	3518	3290	2062	2681	1162	1090	1418	2060	4276	3939	6708	389	411	7	1067	2382	3123	1079	1361	11088	6096	6375	3992	6605	5666	475	217	6712	4578	1376	1910	3825	3890	1703	1494	6191	5409	3377	3069	4141	4855	2028	3971	7010	6895	1614	3114	7164	8438	3692	2084	4544	3843	3730	2713	6676	10879	2531	8609	8742	1310	2118	7474	7793	8661	8838	1929	3496	4781	9215	9271	8422	6618	6037	2197	10237	2941	12092	2209	10680	10264	4934	8357	6887	7615	3668	4928	11192	9689	3291	4693	9728	12509	5867	5810	13750	12735	7005	7468	10257	12915	5692	6889	10451	12670	5093	5927	11128	4325	13739	13336	5486	9008	6192	6344	4165	5085	5109	6217	2368	6225	5586	9838	2539	3129	15312	9945	6304	6279	5519	2466	3990	3889	2315	3147	3937	8239	9053	1223	2405	7288	5122	5268	4933	8199	6814	5649	4284	6083	7099	2212	1561	7410	10515	8611	2328	4033	7797	15935	320	3257	351	7920	11888	10477	3472	2186	2430	9857	15521	18187	3200	3058	890	12363	8239	10358	2028	2163	2254	24035	12728	11808	9923	18923	2389	5433	4433	5558	5841	2762	10022	10232	7844	5755	5879	10726	7068	8014	9893	8401	7878	8454	8901	8879	7139	8340	7066	8139	10481	10237	12932	4482	4561	3567	9484	9156	10427	5482	5496	10064	516	1300	4469	2692	1809	2670	5963	2282	98	3686	1720	512	4578	2546	3005	3164	3767	4135	4908	9181	2844	1370	2106	1115	413	3436	4745	5263	13381	9398	17373	3943	4734	3758	6313	4148	6311	4095	8976	7542	2274	4539	2599	2847	8152	3337	3847	7475	12324	1907	3511	4255	5982	2	4090	6960	590	3017	130	4260	1010	2125	20459	3997	4	0	0	1	1	0	9	42	0	0	0	1	0	0
ASV_10004	0	0	46	0	415	0	0	0	0	0	9	0	95	105	254	0	0	24	15	0	0	331	429	990	2139	133	121	600	813	47	816	70	112	88	67	660	156	160	2225	176	432	517	7	5	168	188	18	0	0	53	60	0	122	104	422	559	223	129	0	0	2	10	0	0	0	0	0	0	0	33	0	0	23	5	0	0	18	9	0	0	52	18	7	8	0	8	0	235	279	9	4	0	85	4	32	230	23	0	73	0	0	338	2	0	154	91	0	0	0	0	0	0	49	69	0	0	0	326	0	0	42	115	0	40	211	385	0	0	1	0	0	0	1	0	0	0	0	0	139	211	0	0	12	11	0	387	27	18	0	0	315	0	0	40	263	0	0	14272	16746	12938	19298	4962	3992	355	1127	546	878	120	597	717	530	528	426	513	651	2	0	1354	1246	958	0	0	433	1635	0	261	89	761	828	979	0	0	99	536	231	716	103	0	0	220	405	84	1071	552	1088	228	78	60	205	187	523	1890	658	3681	3718	2361	78	3	56	120	60	179	2418	3102	2109	3177	5655	2869	45	244	149	67	107	44	1055	1207	2373	1123	3756	2892	153	140	239	151	134	739	0	0	0	0	0	0	0	0	68	0	0	0	39	0	0	0	0	3	11	1	12	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	2	27	15	29	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	4	12	4	57	86	54	1	0	0	2	0	0	0	61	0	85	1540	0	0	0	0	0	0
ASV_10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	44	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	4	1	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	25	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	73	0	0	0	0	0	0
