ASV	Multi_taxID_entry	USED
ASV_10005	1632528;1632540	TRUE
ASV_10011	1618629;1618630;1618631;1618632, 1618633	FALSE
ASV_10014	1618964, 1618943, 1618815;1618890;1618924	FALSE
ASV_10056	1618784;1618903	TRUE
ASV_1006	1360530, 1364563, 1363404, 1363400, 1363397;1364564, 1363396, 1363392, 1362392, 78, 2201350, 1759315, 1168082, 1977087, 1234015, 942894, 942893, 933168, 122598	FALSE
ASV_10076	300231, 1905676, 56807, 3342250, 1518072, 1085623, 1262154, 1262153, 1262151;1262152, 56807;1121922, 644449, 138646, 138643, 138642, 169686	FALSE
ASV_10113	98657, 41446, 72110, 8110, 72110;98657	FALSE
ASV_10124	1618636;1618637;1618638;1618639;1618640;1618641	TRUE
ASV_10143	1618629;1618630;1618631;1618632, 1618633	FALSE
ASV_10145	2024993, 1471142, 1123225, 450804, 638037, 638033, 638032, 354245;1123225, 393970, 121714	FALSE
ASV_10148	78556, 90736, 1202962, 428031, 69539, 80854, 1634593, 1634592, 1634590;1634594, 1634596, 1634595, 1691542, 1293793, 2746233, 2746232, 2746231, 2746230, 888427, 888426, 888428;888429, 756702, 756699, 756698, 690577, 685110, 476533, 452555, 341390, 1201293, 383813, 383812, 248917, 247458, 247457, 247456, 242172, 351624, 368236, 368231, 89067, 285066, 285061, 285057;285060, 285052, 285051, 285049, 285048, 285047, 285043;285046;285058;285059;285218, 285041, 111291, 111292, 50422, 73852, 73851, 73850, 73849, 73847, 73846, 73845;73848, 73844, 73843, 73842, 90736;1202962	FALSE
ASV_10177	78556, 90736, 1202962, 428031, 69539, 80854, 1634593, 1634592, 1634590;1634594, 1634596, 1634595, 1691542, 1293793, 2746233, 2746232, 2746231, 2746230, 888427, 888426, 888428;888429, 756702, 756699, 756698, 690577, 685110, 476533, 452555, 341390, 1201293, 383813, 383812, 248917, 247458, 247457, 247456, 242172, 351624, 368236, 368231, 89067, 285066, 285061, 285057;285060, 285052, 285051, 285049, 285048, 285047, 285043;285046;285058;285059;285218, 285041, 111291, 111292, 50422, 73852, 73851, 73850, 73849, 73847, 73846, 73845;73848, 73844, 73843, 73842, 90736;1202962, 1805526, 1379948	FALSE
ASV_1018	1618737;1618756	TRUE
ASV_10186	1009945, 1009942, 1509861, 1509859;1509863;1509866;1509870;1509880;1509899;1509900, 1509883;1509884;1509886	FALSE
ASV_10193	1618629;1618630;1618631;1618632, 1618633	FALSE
ASV_10202	1618629;1618630;1618631;1618632, 1618633	FALSE
ASV_10219	1618784;1618903	TRUE
ASV_10222	77931, 47934, 47934;493464;1486434;1486437;1486444, 150622, 437763;704171, 150597, 47934;120300;146760;150623;447208;497816	FALSE
ASV_10224	1618629;1618630;1618631;1618632, 1618633	FALSE
ASV_10243	98657, 41446, 72110, 8110, 72110;98657	FALSE
ASV_10267	1618784;1618903	TRUE
ASV_10270	1618629;1618630;1618631;1618632, 1618633	FALSE
