reads.in	reads.out
MP_E25_2B_DY20_R1_trimmed.fq.gz	94562	72302
MP_E26_1B_DY20_R1_trimmed.fq.gz	70283	67717
MP_E26_2B_DY20_R1_trimmed.fq.gz	159111	142912
MP_E27_1B_DY20_R1_trimmed.fq.gz	47241	25514
MP_E27_2B_DY20_R1_trimmed.fq.gz	164049	144601
MP_E28_1B_DY20_R1_trimmed.fq.gz	110676	88102
MP_E28_2B_DY20_R1_trimmed.fq.gz	125930	111460
MP_E29_1B_DY20_R1_trimmed.fq.gz	181983	170878
MP_E29_2B_DY20_R1_trimmed.fq.gz	166482	157447
MP_E30_1B_DY20_R1_trimmed.fq.gz	56451	53927
MP_E30_2B_DY20_R1_trimmed.fq.gz	37559	33544
MP_E31_1B_DY20_R1_trimmed.fq.gz	103263	59248
MP_E31_2B_DY20_R1_trimmed.fq.gz	126412	99578
MP_E32_1B_DY20_R1_trimmed.fq.gz	133589	112065
MP_E32_2B_DY20_R1_trimmed.fq.gz	191237	173339
MP_E33_1B_DY20_R1_trimmed.fq.gz	69503	62451
MP_E33_2B_DY20_R1_trimmed.fq.gz	84321	79682
MP_E34_1B_DY20_R1_trimmed.fq.gz	176415	167087
MP_E34_2B_DY20_R1_trimmed.fq.gz	173159	160154
MP_E35_1B_DY20_R1_trimmed.fq.gz	143307	132064
MP_E35_2B_DY20_R1_trimmed.fq.gz	142519	125105
MP_E36_1B_DY20_R1_trimmed.fq.gz	175578	157607
MP_E36_2B_DY20_R1_trimmed.fq.gz	195014	178643
MP_E37_1B_DY20_R1_trimmed.fq.gz	144834	123504
MP_E37_2B_DY20_R1_trimmed.fq.gz	204344	191424
MP_E38_1B_DY20_R1_trimmed.fq.gz	190703	173502
MP_E38_2B_DY20_R1_trimmed.fq.gz	203114	180915
MP_E39_1B_DY20_R1_trimmed.fq.gz	191338	175203
MP_E39_2B_DY20_R1_trimmed.fq.gz	198488	176591
MP_E40_1B_DY20_R1_trimmed.fq.gz	218773	196586
MP_E40_2B_DY20_R1_trimmed.fq.gz	180291	158454
MP_E42_1B_DY20_R1_trimmed.fq.gz	180912	150672
MP_E42_2B_DY20_R1_trimmed.fq.gz	173662	155751
MP_E43_1B_DY20_R1_trimmed.fq.gz	194294	174711
