Sample	lat	long	controls	group1
E27.1B.DY20	48	-122	NA	Dyson20
E36.1B.DY20	48	-122	NA	Dyson20
E36.2B.DY20	48	-122	NA	Dyson20
E53.1B.DY20	48	-122	NA	Dyson20
E54.1B.DY20	48	-122	NA	Dyson20
E235.1B.NO20	48	-122	NA	Norseman20
E235.2B.NO20	48	-122	NA	Norseman20
E235.3B.NO20	48	-122	NA	Norseman20
E236.1B.NO20	48	-122	NA	Norseman20
E236.2B.NO20	48	-122	NA	Norseman20
E239.1B.NO20	48	-122	NA	Norseman20
E241.2B.NO20	48	-122	NA	Norseman20
E243.1B.NO20	48	-122	NA	Norseman20
E243.2B.NO20	48	-122	NA	Norseman20
E244.1B.NO20	48	-122	NA	Norseman20
E244.2B.NO20	48	-122	NA	Norseman20
E245.1B.NO20	48	-122	NA	Norseman20
E245.2B.NO20	48	-122	NA	Norseman20
E246.1B.NO20	48	-122	NA	Norseman20
E246.2B.NO20	48	-122	NA	Norseman20
E247.1B.NO20	48	-122	NA	Norseman20
E247.2B.NO20	48	-122	NA	Norseman20
E248.1B.NO20	48	-122	NA	Norseman20
E248.2B.NO20	48	-122	NA	Norseman20
E249.1B.NO20	48	-122	NA	Norseman20
E249.2B.NO20	48	-122	NA	Norseman20
E251.1B.NO20	48	-122	NA	Norseman20
E251.2B.NO20	48	-122	NA	Norseman20
E252.2B.NO20	48	-122	NA	Norseman20
E253.NO20	48	-122	NA	Norseman20
E254.NO20	48	-122	NA	Norseman20
E255.1B.NO20	48	-122	NA	Norseman20
E255.2B.NO20	48	-122	NA	Norseman20
E256.1B.NO20	48	-122	NA	Norseman20
E256.2B.NO20	48	-122	NA	Norseman20
E257.1B.NO20	48	-122	NA	Norseman20
E257.2B.NO20	48	-122	NA	Norseman20
E258.2B.NO20	48	-122	NA	Norseman20
E259.1B.NO20	48	-122	NA	Norseman20
E260.1B.NO20	48	-122	NA	Norseman20
E261.1B.NO20	48	-122	NA	Norseman20
E261.2B.NO20	48	-122	NA	Norseman20
E263.2B.NO20	48	-122	NA	Norseman20
E269.2B.NO20	48	-122	NA	Norseman20
E270.1B.NO20	48	-122	NA	Norseman20
E271.1B.NO20	48	-122	NA	Norseman20
E271.2B.NO20	48	-122	NA	Norseman20
E275.1B.NO20	48	-122	NA	Norseman20
E276.2B.NO20	48	-122	NA	Norseman20
E277.3B.NO20	48	-122	NA	Norseman20
E278.1B.NO20	48	-122	NA	Norseman20
E280.1B.NO20	48	-122	NA	Norseman20
E284.3B.NO20	48	-122	NA	Norseman20
E288.2B.NO20	48	-122	NA	Norseman20
E289.1B.NO20	48	-122	NA	Norseman20
E290.1B.NO20	48	-122	NA	Norseman20
E291.2B.NO20	48	-122	NA	Norseman20
E292.2B.NO20	48	-122	NA	Norseman20
E295.2B.NO20	48	-122	NA	Norseman20
E295.3B.NO20	48	-122	NA	Norseman20
E296.1B.NO20	48	-122	NA	Norseman20
E296.2B.NO20	48	-122	NA	Norseman20
E296.3B.NO20	48	-122	NA	Norseman20
E299.2B.NO20	48	-122	NA	Norseman20
E299.3B.NO20	48	-122	NA	Norseman20
E300.1B.NO20	48	-122	NA	Norseman20
E300.3B.NO20	48	-122	NA	Norseman20
E24.NC.DY20	NA	NA	negative	NA
E41.NC.DY20	NA	NA	negative	NA
E56.NC.DY20	NA	NA	negative	NA
E73.NC.DY20	NA	NA	negative	NA
E232.NC.NO20	NA	NA	negative	NA
E301.NC.NO20	NA	NA	negative	NA
POSITIVE	NA	NA	positive	NA
