ASV	Multi_taxID_entry	USED
ASV_10002	1108003;3031309	TRUE
ASV_10003	3076644;3076645	TRUE
ASV_10039	944641, 101203;944641	FALSE
ASV_10042	1893634;1893635;1893636;1895175	TRUE
ASV_10101	1104144, 1129703, 710635;831534;1104144;1129703	FALSE
ASV_10113	2451576, 2451558;2451564;2451566	FALSE
ASV_10162	220647, 3108435, 1918684, 220649;3108435, 220649	FALSE
ASV_10217	2176022, 1732519;3126461	FALSE
ASV_10288	875844, 875844;2333602	FALSE
ASV_10290	875844, 875844;2333602	FALSE
ASV_1031	172567, 6678;164412, 164412, 1677663	FALSE
ASV_10360	1893352, 1893350;1893354;1893360, 1893363	FALSE
ASV_10430	2176022, 1732519;3126461	FALSE
ASV_10481	921181;1103063, 1432770	FALSE
ASV_10732	878057, 1587385, 878057;1553525;1587385;2766499, 878057;1553525;1587385	FALSE
ASV_10733	31340;62302, 31340	FALSE
ASV_10807	2514814, 2514798, 2505112;2514802;2514803;2514811	FALSE
ASV_10809	164412;172567;1220549, 164412	FALSE
ASV_10835	228916, 4770;120421, 4770;334526	FALSE
ASV_10839	382370, 29208;29209;382370	FALSE
ASV_10840	933002;933021	TRUE
ASV_1095	942217, 833076;942217, 1887940	FALSE
ASV_10969	82945;2125992	TRUE
ASV_10971	1861856, 1861850, 457354;565288;708009	FALSE
ASV_11074	1332184;1797089	TRUE
ASV_11077	328425, 328424, 2175897, 1917404, 2099499, 328424;2099517;2099522, 1593431, 1593432, 1593384, 1595869, 1593381, 634739, 2966199;2966200;2966201, 2966198, 500566, 2850868;2853651;2853652, 2697106, 2850912, 2853626, 1239275	FALSE
ASV_11145	2578492, 2318890;2318913	FALSE
ASV_11178	228916, 4770;120421, 4770;334526	FALSE
ASV_11182	36331;186163	TRUE
ASV_11198	2285064;2285065, 1887693	FALSE
ASV_11210	2176022, 1732519;3126461	FALSE
ASV_11290	2285064;2285065, 1887693	FALSE
ASV_11322	51768;2268722, 51768, 1838150, 359988, 1719098, 359988;1719098, 1329935, 1329934	FALSE
ASV_11353	425966, 425965;425966, 425965, 425967	FALSE
ASV_11370	1774721;1774722	TRUE
ASV_11415	112081;112083	TRUE
ASV_11455	90936, 90936;859642, 358089	FALSE
ASV_11470	2005530, 2005530;2579444	FALSE
ASV_11549	2109171;2109193, 2109233	FALSE
ASV_11574	2754243, 2658204, 820737;2658204, 820737	FALSE
ASV_11602	2176022, 1732519;3126461	FALSE
ASV_11623	2503158;2503288	TRUE
ASV_11685	2362586;2362587;2362589;2362590	TRUE
ASV_11700	2554787;2554789	TRUE
ASV_11776	875844, 875844;2333602	FALSE
ASV_11779	1894415;1894418	TRUE
ASV_11799	2451576, 2451558;2451564;2451566	FALSE
ASV_11800	1754622;1881779, 2938412	FALSE
ASV_11824	6116, 6116;2834557	FALSE
ASV_11851	2722189, 2198244;2199125	FALSE
ASV_11864	2176022, 1732519;3126461	FALSE
ASV_11909	1049592, 1704120, 1704119;1704127, 1704127	FALSE
ASV_11914	2176022, 1732519;3126461	FALSE
ASV_11958	1468491;1468494	TRUE
ASV_12057	2514814, 2514798, 2505112;2514802;2514803;2514811	FALSE
ASV_12062	89336, 89336;3044185	FALSE
ASV_12117	2176022, 1732519;3126461	FALSE
ASV_12162	2285064;2285065, 1887693	FALSE
ASV_12166	2754243, 2658204, 820737;2658204, 820737	FALSE
ASV_12182	1754622;1881779	TRUE
ASV_12194	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_12207	1894415;1894418	TRUE
ASV_12319	1495395;3120124	TRUE
ASV_12351	875844, 875844;2333602	FALSE
ASV_12359	2285064;2285065, 1887693	FALSE
ASV_12477	2285064;2285065, 1887693	FALSE
ASV_12527	899880;1103964	TRUE
ASV_1254	45157, 45157;280699	FALSE
ASV_12553	2285064;2285065, 1887693	FALSE
ASV_12579	2168654, 2168522;2168526;2168528;2168531;2168622, 2168510, 2938474	FALSE
ASV_12583	933002;933021	TRUE
ASV_12590	1132395, 1132395;2411485, 2333971	FALSE
ASV_12618	875844, 875844;2333602	FALSE
ASV_12680	2464749, 2137134, 2137127;2137133;2137134	FALSE
ASV_12681	2464749, 2137134, 2137127;2137133;2137134	FALSE
ASV_12743	2554787;2554789	TRUE
ASV_12803	164412;172567;1220549, 164412	FALSE
ASV_12920	2481655;2481671	TRUE
ASV_12976	1896717;2085056	TRUE
ASV_1298	946373, 944610;946373	FALSE
ASV_13027	580260, 581229, 580260;581228;581229;581230, 482393	FALSE
ASV_13032	1893634;1893635;1893636;1895175	TRUE
ASV_13065	443219;457354, 127442	FALSE
ASV_13078	4768;112030, 4768	FALSE
ASV_1311	164412;172567;1220549, 164412, 1677663	FALSE
ASV_13128	875844, 875844;2333602	FALSE
ASV_13137	2082488, 2082479, 2082489, 2044622;2082475	FALSE
ASV_13202	2514814, 2514798, 2505112;2514802;2514803;2514811	FALSE
ASV_13210	1642465, 2065307, 3375943, 565288, 1477121, 3073787, 3073772, 1861855, 981404, 544909;565288;747254;864826;864827	FALSE
ASV_1327	2653606, 869194;2653605, 869194;2653604;2653608, 869194, 35052	FALSE
ASV_13291	1344033, 1156569;1344033	FALSE
ASV_13436	1894415;1894418	TRUE
ASV_13471	2137137, 1562391;2109000;2109022;2109063;2464746;2464747, 1562391	FALSE
ASV_13493	1577959, 1704126, 1704123;1704128	FALSE
ASV_13530	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_13606	2554787;2554789	TRUE
ASV_13621	1871872;1871873, 1871871	FALSE
ASV_13631	2722406, 1897261, 2329852, 2329851, 2329850, 1881909;1897261;2329848;2329849;2329853	FALSE
ASV_13720	676265;1320138;1320139	TRUE
ASV_13802	164412;172567;1220549, 164412	FALSE
ASV_13939	2285064;2285065, 1887693	FALSE
ASV_14054	1774721;1774722	TRUE
ASV_14082	875844, 875844;2333602	FALSE
ASV_14085	2285064;2285065, 1887693	FALSE
ASV_14195	2902849;3037938	TRUE
ASV_14318	1876900;1876902	TRUE
ASV_14320	2329880;2329881;2329887	TRUE
ASV_14362	2451576, 2451558;2451564;2451566	FALSE
ASV_14420	47934, 1527696, 83649, 493464, 1091503, 673126, 673127;673134, 673131, 1486439	FALSE
ASV_14593	2176022, 1732519;3126461	FALSE
ASV_14714	2451576, 2451558;2451564;2451566	FALSE
ASV_14744	257860, 2305476, 257860;2305476	FALSE
ASV_14749	2282857, 1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_14756	1229243, 110193, 110193;2339981	FALSE
ASV_14774	1893352, 1893350;1893354;1893360, 1893363	FALSE
ASV_14805	1104144, 1129703, 710635;831534;1104144;1129703	FALSE
ASV_14853	2176022, 1732519;3126461	FALSE
ASV_14920	1674418, 2750388, 2750573, 2750567, 2750554;2750557;2750558;2750566, 2750545, 2750388;2750540;2750541;2750542;2750543;2750544;2750547;2750548;2750549;2750550;2750551;2750552;2750553;2750555;2750559;2750560;2750561;2750562;2750563;2750565;2750568;2750569;2750570;2750571, 2750539	FALSE
ASV_15010	988042, 1104144, 1129703, 710635;831534;1104144;1129703	FALSE
ASV_15028	1344033, 1156569;1344033	FALSE
ASV_15049	2176022, 1732519;3126461	FALSE
ASV_151	875844, 875844;2333602	FALSE
ASV_15138	2285064;2285065, 1887693	FALSE
ASV_15181	2176022, 1732519;3126461	FALSE
ASV_15185	1894415;1894418	TRUE
ASV_15221	1103170;2878054	TRUE
ASV_15296	2464749, 2137134, 2137127;2137133;2137134	FALSE
ASV_153	2464749, 2137134, 2137127;2137133;2137134	FALSE
ASV_15317	2514809, 2505120, 2505119;2514807;2514808;2514813, 2505115;2505118;2514799	FALSE
ASV_15331	544909, 544909;565288	FALSE
ASV_15358	1269246;2065752;2472764	TRUE
ASV_15418	2005530, 2005530;2579444	FALSE
ASV_15425	3373387, 3123061;3373387, 3123061	FALSE
ASV_15531	2137137, 1562391;2109000;2109022;2109063;2464746;2464747, 1562391	FALSE
ASV_15627	2176022, 1732519;3126461	FALSE
ASV_15649	2109010;2109015;2109094	TRUE
ASV_15751	254362, 254362;842173	FALSE
ASV_15753	2065307, 3375943, 565288, 1477121, 1861855, 981404, 544909;565288;747254;864826;864827	FALSE
ASV_15773	3297556, 1196597, 1190534, 1196597;1704125, 1216509, 981427	FALSE
ASV_1588	2554784;2554785;2554788	TRUE
ASV_1590	2463469;2463471;2831491, 2463470, 2831491, 315326	FALSE
ASV_15960	6551, 2653597, 61855, 6550, 6551;61855, 6551;2653595	FALSE
ASV_15988	2000395, 2000350, 1988522, 1988805;1991555;1991659;1994702;1997205;2000432;2000462;2000479	FALSE
ASV_1604	2475333;2475343, 130010	FALSE
ASV_16047	2176022, 1732519;3126461	FALSE
ASV_16281	1894415;1894418	TRUE
ASV_16341	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_16368	2065307, 3297565, 3375943, 747252, 565288, 1477121, 1861855, 981404, 544909;565288;747254;864826;864827	FALSE
ASV_16452	2514814, 2514798, 2505112;2514802;2514803;2514811	FALSE
ASV_16468	920461;1104025	TRUE
ASV_16492	1958929;2020254	TRUE
ASV_16511	2554787;2554789	TRUE
ASV_16512	1103170;2878054	TRUE
ASV_16513	2935851, 2935848;2935849;2935850	FALSE
ASV_16519	164412;172567;1220549, 164412	FALSE
ASV_16528	875844, 875844;2333602	FALSE
ASV_16603	2667392;2679452	TRUE
ASV_16659	842478;1102934	TRUE
ASV_16672	164412;172567;1220549, 164412	FALSE
ASV_1679	2861502;2861591;2861634, 2861414	FALSE
ASV_1682	2514809, 2505119;2514807;2514808;2514813, 2505115;2505118;2514799	FALSE
ASV_16843	1894415;1894418	TRUE
ASV_16867	2176022, 1732519;3126461	FALSE
ASV_16904	1100406, 835013;1100406, 835013	FALSE
ASV_16928	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_16959	2514814, 2514798, 2505112;2514802;2514803;2514811	FALSE
ASV_16962	2514809, 2505119;2514807;2514808;2514813, 2505115;2505118;2514799	FALSE
ASV_17050	1876900;1876902	TRUE
ASV_17101	2554787;2554789	TRUE
ASV_17126	835098;1102128	TRUE
ASV_17271	164412;172567;1220549, 164412	FALSE
ASV_17281	2514809, 2505119;2514807;2514808;2514813, 2505115;2505118;2514799	FALSE
ASV_17314	2783015, 2783013;2783014	FALSE
ASV_17371	1869246, 1869246;1869249, 1869248	FALSE
ASV_17432	2464749, 2137134, 2137127;2137133;2137134	FALSE
ASV_17435	172567, 6678;164412, 164412	FALSE
ASV_17437	2593425, 51056, 214965, 214972, 647670, 1499105, 262281, 214972;1499105	FALSE
ASV_17474	2176022, 1732519;3126461	FALSE
ASV_17509	1001429;1216521;1216593;1432887;2068204	TRUE
ASV_17527	1989508;1989509;1992474;1998401;2001504	TRUE
ASV_17528	3373387, 3123061, 3123061;3373387	FALSE
ASV_17597	1104144, 1129703, 710635;831534;1104144;1129703	FALSE
ASV_17660	2514809, 2505119;2514807;2514808;2514813, 2505115;2505118;2514799	FALSE
ASV_1769	2754243, 2658204, 820737;2658204, 820737	FALSE
ASV_17697	921181;1103063, 1432770	FALSE
ASV_17741	921181;1103063, 1432770	FALSE
ASV_17752	1564259;1569279, 1564257	FALSE
ASV_17767	82945;2125992	TRUE
ASV_17770	1371644;1555474	TRUE
ASV_17778	2115156;2115157, 2085728	FALSE
ASV_17785	1894415;1894418	TRUE
ASV_17824	172567, 6678;164412, 164412	FALSE
ASV_17917	89336, 247283, 1205998, 247283;767458	FALSE
ASV_18041	51539, 1894415;1894418	FALSE
ASV_18070	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_18075	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_18102	1473685, 1473685;1763969;2334344	FALSE
ASV_1811	1893352, 1893350;1893354;1893360, 1893363	FALSE
ASV_18134	1642946, 1642946;1642947	FALSE
ASV_18190	2176022, 1732519;3126461	FALSE
ASV_18258	40077, 1139636, 2697223, 40077;832945;994014;1139636;2697223	FALSE
