dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_BlankAlaskaSet_NC_pool	66725	62874	62842	62824	62373	62339	93.4
MP_Dyson_NC_pool	40439	38353	38303	38322	37928	37671	93.2
MP_E1148_DY2206	454435	302604	300275	300167	294256	275655	60.7
MP_E1149_DY2206	478777	380363	377851	377374	368273	338594	70.7
MP_E1150_DY2206	454716	330055	329187	329269	322707	263618	58
MP_E1151_DY2206	505263	377823	374355	374711	366854	346704	68.6
MP_E1152_DY2206	345553	157672	157254	157310	149540	111751	32.3
MP_E1153_DY2206	321301	167627	167357	167327	164594	146463	45.6
MP_E1154_DY2206	585525	287992	286263	285677	280146	258027	44.1
MP_E1155_DY2206	506965	466954	464941	465328	456344	415136	81.9
MP_E1156_DY2206	349945	106032	105720	105866	104307	90355	25.8
MP_E1158_DY2206	663497	439742	438575	438337	433686	412772	62.2
MP_E1159_DY2206	450823	290001	289458	289409	286090	262837	58.3
MP_E1160_DY2206	429923	286152	286001	285835	282909	257535	59.9
MP_E1164_DY2206	508022	236511	235927	235773	231994	219046	43.1
MP_E1165_DY2206	484973	284388	283608	283517	277988	263886	54.4
MP_E1166_DY2206	451749	258969	258318	258275	252756	241362	53.4
MP_E1455_RC0083	493060	429792	427292	426725	418105	394270	80
MP_E1456_RC0083	441709	412085	409822	409319	401369	389114	88.1
MP_E1457_RC0083	476669	448454	447096	446650	440719	411324	86.3
MP_E1458_RC0083	498598	458664	457399	456641	445809	427143	85.7
MP_E1459_RC0083	466011	412997	410257	409517	398350	386659	83
MP_E1460_RC0083	532977	500891	497799	496615	487072	454999	85.4
MP_E1461_RC0083	407436	367814	366552	366485	359590	345620	84.8
MP_E1462_RC0083	539106	509211	507424	506617	497915	457749	84.9
MP_E1463_RC0083	468697	340228	339030	339223	334706	310154	66.2
MP_E1470_RC0083	459416	386838	383685	383530	374145	362698	78.9
MP_E1471_RC0083	443754	421347	419310	418876	405767	370206	83.4
MP_E1472_RC0083	437194	413492	411679	411638	405066	381991	87.4
MP_E1485_RC0083	434218	391611	391495	391437	389781	386443	89
MP_E1486_RC0083	494357	470684	469129	467851	458378	444334	89.9
MP_E1487_RC0083	404217	375453	374446	373747	370490	337444	83.5
MP_E1488_RC0083	431901	411728	410936	410551	406023	392644	90.9
MP_E1489_RC0083	365160	349550	348893	349090	343209	338948	92.8
