Value	Sample	TerminalTaxa
144851	MP_E1148_DY2206	Gadus
286	MP_E1148_DY2206	Unknown
561	MP_E1148_DY2206	Bacteria
8064	MP_E1148_DY2206	Corethron pennatum
6	MP_E1148_DY2206	Oncorhynchus clarkii
41	MP_E1148_DY2206	Psychromonas
1463	MP_E1148_DY2206	Elphidium aculeatum
6	MP_E1148_DY2206	Planctomycetaceae
280	MP_E1148_DY2206	Gammaproteobacteria
329	MP_E1148_DY2206	Hemiaulales
18119	MP_E1148_DY2206	Eukaryota
20	MP_E1148_DY2206	Psychromonas antarctica
16	MP_E1148_DY2206	Candidatus Campbellbacteria
43	MP_E1148_DY2206	Virgulinella fragilis
2	MP_E1148_DY2206	Sebastes nebulosus
13967	MP_E1148_DY2206	Proboscia
24400	MP_E1148_DY2206	Gadus chalcogrammus
24420	MP_E1148_DY2206	Chaetoceros sp_
127	MP_E1148_DY2206	Actinocyclus
1	MP_E1148_DY2206	Oceanospirillales
5	MP_E1148_DY2206	Cottidae
3	MP_E1148_DY2206	Pseudomaricurvus alkylphenolicus
1	MP_E1148_DY2206	Leuroglossus schmidti
87	MP_E1148_DY2206	Thalassiosira sp_
71	MP_E1148_DY2206	Planoglabratella opercularis
21	MP_E1148_DY2206	Alphaproteobacteria
456	MP_E1148_DY2206	Ditylum brightwellii
2	MP_E1148_DY2206	Oncorhynchus tshawytscha
11	MP_E1148_DY2206	Teleaulax acuta
629	MP_E1148_DY2206	Bacillariophyta
399	MP_E1148_DY2206	Pleurosigma
2019	MP_E1148_DY2206	Rhizosoleniaceae
8	MP_E1148_DY2206	Thalassiosira nordenskioeldii
41626	MP_E1148_DY2206	Gadidae
231	MP_E1148_DY2206	Gadus morhua
29	MP_E1148_DY2206	Clupea pallasii
1377	MP_E1148_DY2206	Planctomycetota
9	MP_E1148_DY2206	Pseudo_nitzschia sp_ RCC2006
394	MP_E1148_DY2206	Stephanopyxis
41	MP_E1148_DY2206	Bacterioplanes
93	MP_E1148_DY2206	Shewanella sp_ J327
64	MP_E1148_DY2206	Homo sapiens
547	MP_E1148_DY2206	Psammodictyon panduriforme
100	MP_E1148_DY2206	Thalassiosiraceae
14	MP_E1148_DY2206	Triparmaceae
46	MP_E1148_DY2206	Rhizosolenia
23	MP_E1148_DY2206	Candidatus Vogeliibacteriota
164	MP_E1148_DY2206	Elphidium
9	MP_E1148_DY2206	Rotaliida
90	MP_E1148_DY2206	Thalassiosirales
1	MP_E1148_DY2206	Candidatus Azambacteria
3	MP_E1148_DY2206	Candidatus Nomurabacteria
4	MP_E1148_DY2206	Pseudoalteromonas
2	MP_E1148_DY2206	Chaetocerotales
798	MP_E1148_DY2206	Chaetoceros
243	MP_E1148_DY2206	Pyramimonadales
3	MP_E1148_DY2206	Thalassiosira
2	MP_E1148_DY2206	Triparma laevis
16	MP_E1148_DY2206	Agarivorans
1	MP_E1148_DY2206	Microstomus pacificus
1	MP_E1148_DY2206	Parmales
304	MP_E1148_DY2206	Pythiaceae
31	MP_E1148_DY2206	Lithodesmiaceae
24	MP_E1148_DY2206	Psychrobium conchae
6	MP_E1148_DY2206	Gasterosteus aculeatus
24	MP_E1148_DY2206	Bolidomonas mediterranea
14	MP_E1148_DY2206	Sedimentisphaerales
5	MP_E1148_DY2206	Skeletonemataceae
4	MP_E1148_DY2206	Parahaliea mediterranea
34	MP_E1148_DY2206	Thalassiosira rotula
1	MP_E1148_DY2206	Eleginus gracilis
3	MP_E1148_DY2206	Pseudoteredinibacter isoporae
208	MP_E1148_DY2206	Coscinodiscophyceae
20	MP_E1148_DY2206	Elphidium williamsoni
28	MP_E1148_DY2206	Candidatus Kaiserbacteria
12	MP_E1148_DY2206	Bacillariophyceae
79	MP_E1148_DY2206	Corethron hystrix
342	MP_E1148_DY2206	Thalassionema sp_ CCMP1100
26	MP_E1148_DY2206	Persicobacteraceae
34	MP_E1148_DY2206	Pseudo_nitzschia
33	MP_E1148_DY2206	Pelagomonas
2	MP_E1148_DY2206	Chrysochromulina camella
66	MP_E1148_DY2206	Alteromonadales
8	MP_E1148_DY2206	Cottus asper
18	MP_E1148_DY2206	Psychrobium
2	MP_E1148_DY2206	Atherinops affinis
