x	MP_E1148_DY2206	MP_E1149_DY2206	MP_E1150_DY2206	MP_E1151_DY2206	MP_E1152_DY2206	MP_E1153_DY2206	MP_E1154_DY2206	MP_E1155_DY2206	MP_E1156_DY2206	MP_E1158_DY2206	MP_E1159_DY2206	MP_E1160_DY2206	MP_E1164_DY2206	MP_E1165_DY2206	MP_E1166_DY2206	MP_E1455_RC0083	MP_E1456_RC0083	MP_E1457_RC0083	MP_E1458_RC0083	MP_E1459_RC0083	MP_E1460_RC0083	MP_E1461_RC0083	MP_E1462_RC0083	MP_E1463_RC0083	MP_E1470_RC0083	MP_E1471_RC0083	MP_E1472_RC0083	MP_E1485_RC0083	MP_E1486_RC0083	MP_E1487_RC0083	MP_E1488_RC0083	MP_E1489_RC0083	MP_E1490_RC0083	MP_E1494_RC0083	MP_E1495_RC0083	MP_E1496_RC0083	MP_E1497_RC0083	MP_E1498_RC0083	MP_E1499_RC0083	MP_E1501_RC0083	MP_E1502_RC0083	MP_E1503_RC0083	MP_E1504_RC0083	MP_E1505_RC0083	MP_E1506_RC0083	MP_E1510_RC0083	MP_E1511_RC0083	MP_E1517_RC0083	MP_E1518_RC0083	MP_E1519_RC0083	MP_E1526_RC0083	MP_E1527_RC0083	MP_E1528_RC0083	MP_E1529_RC0083	MP_E1530_RC0083	MP_E1531_RC0083	MP_E1532_RC0083	MP_E1533_RC0083	MP_E1534_RC0083	MP_E1541_RC0083	MP_E1542_RC0083	MP_E1546_RC0083	MP_E1547_RC0083	MP_E1548_RC0083	MP_E1553_RC0083	MP_E1554_RC0083	MP_E1555_RC0083	MP_E1556_RC0083	MP_E1557_RC0083	MP_E1558_RC0083	MP_E1559_RC0083	MP_E1560_RC0083	MP_E1561_RC0083	MP_E1562_RC0083	MP_E1563_RC0083	MP_E1564_RC0083	MP_E1565_RC0083	MP_E1566_RC0083	MP_E1567_RC0083	MP_E1568_RC0083	MP_E1569_RC0083	MP_E1611_DY2209	MP_E1612_DY2209	MP_E1613_DY2209	MP_E1614_DY2209	MP_E1615_DY2209	MP_E1616_DY2209	MP_E1617_DY2209	MP_E1618_DY2209	MP_E1619_DY2209	MP_E1620_DY2209	MP_E1621_DY2209	MP_E1622_DY2209	MP_E1718_DY2306	MP_E1719_DY2306	MP_E1720_DY2306	MP_E1721_DY2306	MP_E1722_DY2306	MP_E1723_DY2306	MP_E1724_DY2306	MP_E1725_DY2306	MP_E1726_DY2306	MP_E1727_DY2306	MP_E1728_DY2306	MP_E1729_DY2306	MP_E1730_DY2306	MP_E1731_DY2306	MP_E1732_DY2306	MP_E1733_DY2306	MP_E1734_DY2306	MP_E1735_DY2306	MP_E1736_DY2306	MP_E1737_DY2306	MP_E1750_DY2306	MP_E1751_DY2306	MP_E1752_DY2306	MP_E1753_DY2306	MP_E1754_DY2306	MP_E1755_DY2306	MP_E1756_DY2306	MP_E1757_DY2306	MP_E1758_DY2306	MP_E1759_DY2306	MP_E1760_DY2306	MP_E1761_DY2306	MP_E1762_DY2306	MP_E1763_DY2306	MP_E1764_DY2306	MP_E1765_DY2306	MP_E1766_DY2306	MP_E1767_DY2306	MP_E1768_DY2306	MP_E1769_DY2306	MP_E1770_DY2306	MP_E1772_DY2306	MP_E1773_DY2306	MP_E1774_DY2306	MP_E1775_DY2306	MP_E1776_DY2306	MP_E1777_DY2306	MP_E1778_DY2306	MP_E1779_DY2306	MP_E1780_DY2306	MP_E1781_DY2306	MP_E1782_DY2306	MP_E1783_DY2306	MP_E1784_DY2306	MP_E1785_DY2306	MP_E1786_DY2306	MP_E1787_DY2306	MP_E1788_DY2306	MP_E1789_DY2306	MP_E1790_DY2306	MP_E1791_DY2306	MP_E1792_DY2306	MP_E1793_DY2306	MP_E1794_DY2306	MP_E1795_DY2306	MP_E1796_DY2306	MP_E1797_DY2306	MP_E1798_DY2306	MP_E1820_DY2306_PCR1	MP_E1820_DY2306_PCR2	MP_E1820_DY2306_PCR3	MP_E1821_DY2306_PCR1	MP_E1821_DY2306_PCR2	MP_E1821_DY2306_PCR3	MP_E1824_DY2306_PCR1	MP_E1824_DY2306_PCR2	MP_E1824_DY2306_PCR3	MP_E1826_DY2306_PCR1	MP_E1826_DY2306_PCR2	MP_E1826_DY2306_PCR3	MP_E1829_DY2306_PCR1	MP_E1829_DY2306_PCR2	MP_E1829_DY2306_PCR3	MP_E1831_DY2306_PCR1	MP_E1831_DY2306_PCR2	MP_E1831_DY2306_PCR3	MP_E1832_DY2306_PCR1	MP_E1832_DY2306_PCR2	MP_E1832_DY2306_PCR3	MP_E1833_DY2306_PCR1	MP_E1833_DY2306_PCR2	MP_E1833_DY2306_PCR3	MP_E1834_DY2306_PCR1	MP_E1834_DY2306_PCR2	MP_E1834_DY2306_PCR3	MP_E1835_DY2306_PCR1	MP_E1835_DY2306_PCR2	MP_E1835_DY2306_PCR3	MP_E1836_DY2306_PCR1	MP_E1836_DY2306_PCR2	MP_E1836_DY2306_PCR3	MP_E1837_DY2306_PCR1	MP_E1837_DY2306_PCR2	MP_E1837_DY2306_PCR3	MP_E1838_DY2306_PCR1	MP_E1838_DY2306_PCR2	MP_E1838_DY2306_PCR3	MP_E1839_DY2306_PCR1	MP_E1839_DY2306_PCR2	MP_E1839_DY2306_PCR3	MP_E1840_DY2306_PCR1	MP_E1840_DY2306_PCR2	MP_E1840_DY2306_PCR3	MP_E1841_DY2306_PCR1	MP_E1841_DY2306_PCR2	MP_E1841_DY2306_PCR3	MP_E1842_DY2306_PCR1	MP_E1842_DY2306_PCR2	MP_E1842_DY2306_PCR3	MP_E1877_SKQ23_12S	MP_E1878_SKQ23_12S	MP_E1879_SKQ23_12S	MP_E1880_SKQ23_12S	MP_E1881_SKQ23_12S	MP_E1882_SKQ23_12S	MP_E1883_SKQ23_12S	MP_E1884_SKQ23_12S	MP_E1885_SKQ23_12S	MP_E1886_SKQ23_12S	MP_E1887_SKQ23_12S	MP_E1888_SKQ23_12S	MP_E1889_SKQ23_12S	MP_E1890_SKQ23_12S	MP_E1891_SKQ23_12S	MP_E1892_SKQ23_12S	MP_E1893_SKQ23_12S	MP_E1894_SKQ23_12S	MP_E1895_SKQ23_12S	MP_E1896_SKQ23_12S	MP_E1897_SKQ23_12S	MP_E1898_SKQ23_12S	MP_E1899_SKQ23_12S	MP_E1900_SKQ23_12S	MP_E1901_SKQ23_12S	MP_E1902_SKQ23_12S	MP_E1903_SKQ23_12S	MP_E1904_SKQ23_12S	MP_E1905_SKQ23_12S	MP_E1906_SKQ23_12S	MP_E1907_SKQ23_12S	MP_E1908_SKQ23_12S	MP_E1909_SKQ23_12S	MP_E1910_SKQ23_12S	MP_E1911_SKQ23_12S	MP_E1912_SKQ23_12S	MP_E1913_SKQ23_12S	MP_E1914_SKQ23_12S	MP_E1915_SKQ23_12S	MP_E1916_SKQ23_12S	MP_E1917_SKQ23_12S	MP_E1918_SKQ23_12S	MP_E1919_SKQ23_12S	MP_E1920_SKQ23_12S	MP_E1921_SKQ23_12S	MP_E1922_SKQ23_12S	MP_E1923_SKQ23_12S	MP_E1924_SKQ23_12S	MP_E1925_SKQ23_12S	MP_E1926_SKQ23_12S	MP_E1927_SKQ23_12S	MP_E1928_SKQ23_12S	MP_E1929_SKQ23_12S	MP_E1930_SKQ23_12S	MP_E1931_SKQ23_12S	MP_E1932_SKQ23_12S	MP_E1933_SKQ23_12S	MP_E1934_SKQ23_12S	MP_E1935_SKQ23_12S	MP_E1936_SKQ23_12S	MP_E1937_SKQ23_12S	MP_E1938_SKQ23_12S	MP_E1939_SKQ23_12S	MP_E1940_SKQ23_12S	MP_E1941_SKQ23_12S	MP_E1942_SKQ23_12S	MP_E1943_SKQ23_12S	MP_E1944_SKQ23_12S	MP_E1945_SKQ23_12S	MP_E1946_SKQ23_12S	MP_E1947_SKQ23_12S	MP_E1948_SKQ23_12S	MP_E1949_SKQ23_12S	MP_E1950_SKQ23_12S	MP_E1951_SKQ23_12S	MP_E1952_SKQ23_12S	MP_E1953_SKQ23_12S	MP_E1954_SKQ23_12S	MP_E1955_SKQ23_12S	MP_E1956_SKQ23_12S	MP_E1957_SKQ23_12S	MP_E1958_SKQ23_12S	MP_E1959_SKQ23_12S	MP_E1960_SKQ23_12S	MP_E1961_SKQ23_12S	MP_E1962_SKQ23_12S	MP_E1963_SKQ23_12S	MP_E1964_SKQ23_12S	MP_E1965_SKQ23_12S	MP_E1966_SKQ23_12S	MP_E1967_SKQ23_12S	MP_E1968_SKQ23_12S	MP_E1969_SKQ23_12S	MP_E1970_SKQ23_12S	MP_E1971_SKQ23_12S	MP_E1972_SKQ23_12S	MP_E1973_SKQ23_12S	MP_E1974_SKQ23_12S	MP_E1975_SKQ23_12S	MP_E1976_SKQ23_12S	MP_E1977_SKQ23_12S	MP_E1978_SKQ23_12S	MP_E1979_SKQ23_12S	MP_E1980_SKQ23_12S	MP_E1981_SKQ23_12S	MP_E1982_SKQ23_12S	MP_E1983_SKQ23_12S	MP_E1984_SKQ23_12S	MP_E1985_SKQ23_12S	MP_E1986_SKQ23_12S	MP_E1987_SKQ23_12S	MP_E1988_SKQ23_12S	MP_E1989_SKQ23_12S	MP_E1990_SKQ23_12S	MP_E1991_SKQ23_12S	MP_E1992_SKQ23_12S	MP_E1993_SKQ23_12S	MP_E1994_SKQ23_12S	MP_E1995_SKQ23_12S	MP_E1996_SKQ23_12S	MP_E1997_SKQ23_12S	MP_E1998_SKQ23_12S	MP_E1999_SKQ23_12S	MP_E2000_SKQ23_12S	MP_E2001_SKQ23_12S	MP_E2002_SKQ23_12S	MP_E2003_SKQ23_12S	MP_E2004_SKQ23_12S	MP_E2005_SKQ23_12S	MP_E2006_SKQ23_12S	MP_E2007_SKQ23_12S	MP_E2008_SKQ23_12S	MP_E2009_SKQ23_12S	MP_E2010_SKQ23_12S	MP_E2011_SKQ23_12S	MP_E2012_SKQ23_12S	MP_E2013_SKQ23_12S	MP_E2014_SKQ23_12S	MP_E2015_SKQ23_12S	MP_E2016_SKQ23_12S	MP_E2017_SKQ23_12S	MP_E2018_SKQ23_12S	MP_E2019_SKQ23_12S	MP_E2020_SKQ23_12S	MP_E2021_SKQ23_12S	MP_E2022_SKQ23_12S	MP_E2023_SKQ23_12S	MP_E2024_SKQ23_12S	MP_E2025_SKQ23_12S	MP_E2026_SKQ23_12S
ASV_1	144851	56268	0	1394	47860	14090	380962	10741	0	136556	61595	136	3637	0	108008	10	12	1	12	10	7	7	4	12	10	5	15	3	2	0	49302	23016	6	35776	53541	0	56511	7685	3	34410	39530	0	171	0	0	35626	1	3	0	1	52514	3	0	6	2	0	1	20616	1	31	9	22792	20618	6	81782	67732	2	28096	0	149463	4	81177	18	116366	10551	27411	39071	10	4	71730	28357	74183	5	8	0	0	0	65269	2	27568	40679	0	25862	0	94871	294503	34913	101537	72761	85101	5793	288189	89654	0	104937	60852	87967	526335	626647	608321	49806	68130	8	0	41033	5	137843	0	112967	234996	58163	119185	71745	106119	86759	177519	150613	112513	362022	244050	112984	144900	104067	0	200876	183457	174488	140036	332853	200729	41696	64694	77916	331940	104226	0	232610	111667	79570	297805	28268	141272	475075	129556	157930	301804	31857	16670	40043	254047	58688	8	79219	1	4	0	2409	0	0	2	7	3	2	0	13	3	3	17	0	0	2	2	2	0	3	2	39153	0	7	0	0	1	26678	14	0	25738	7	53991	19898	18794	0	14151	0	98320	6	3	30193	16518	23	45672	41688	42821	35024	14	41301	4	11	13853	0	10910	1551	0	35696	44663	21812	33068	38737	100091	10077	2	6	4	11	7	3	5	66259	6	28903	25341	16	31409	51435	36193	55374	30709	0	12393	4	10515	34605	0	1	10	4	5	29	16379	3	11	0	1	3	4	3	4	6	0	17	1	3	4	6	0	10754	2	2	3	1	0	0	4	4	7	5	14	0	3	0	0	2	1	5	0	4	9	3	9	5	4	8	4	6	5	19	10	6	15	43	3	2	15123	6	0	2	10	4	1	7	13	7	0	8	7	4	14	0	6	19	4832	20945	10	0	0	5	14	8	0	12750	8	0	0	3	4	19	0	18105	7	15330	58394	18010	0	17	56011	39143	9331	2	7967	4	4	0	30529
ASV_10	0	0	0	0	0	0	0	0	18692	48812	0	2780	5581	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	62691	0	0	1	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	30440	2	0	0	0	3	3	0	0	0	25186	49457	80506	156330	55011	38096	0	2	0	45820	0	0	2	15692	60655	0	0	1	0	0	0	0	0	75392	0	55496	93230	50373	133425	57037	0	0	54697	0	67920	0	0	0	26038	0	0	1	0	0	0	1	0	0	0	0	75089	0	0	23983	0	0	628	0	127842	0	0	40788	0	49677	0	121294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	9597	1	0	0	0	0	0	0	0	18104	0	0	0	0	0	0	1	0	0	2	0	0	1	0	47060	0	1	2	0	0	0	20283	2	0	4519	2	0	0	0	4	1	0	0	0	0	0	33570	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	1	2	3	2	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	3	0	0	3	0	0	0	1	3	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	3	0	0	0	0	2	0	1	2	0	0	0	0	0	0	1	0	12303	0	1	0	2	0
ASV_1000	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1727	0	1	462	0	0	0	0	8	1176	0	0	1396	0	0	2	0	0	0	0	0	134	0	0	27	0	1064	105	11	541	1	399	1271	2	0	37	3	309	1	0	723	801	0	1730	0	35	277	0	108	200	765	441	0	585	0	614	0	2199	0	10	5356	0	0	1130	0	0	11	0	0	1	52	157	1356	144	992	1589	406	59	15	131	373	0	424	560	4	226	50	1012	195	85	66	21	80	0	12	8	690	86	15	1	0	0	1	5	0	9	103	0	164	1	0	14	10	0	0	0	37	7	0	3	0	41	10	30	0	19	1	0	30	1	0	31	0	0	25	56	0	27	0	0	150	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	61	0	57	1078	757	126	126	2	106	12	97	7	33	99	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	170	0	2	22	0	0	1938	93	67	144	0	29	77	0	56	52	437	535	625	11	406	14	0	18	0	27	332	0	184	152	0	8	913	0	42	391	0	2	382	0	0	970	0	0	125	0	0	97	0	0	228	0	0	348	0	0	16	0	9	683	0	0	0	0	1126	0	0	194	0	0	582	0	0	460	0	0	0	0	0	14	0	0	249	0	13	0	166	0	385	0	0	374	0	958	0	54	0	33	20	0	0	0	0	31	0	82	0	0	16	0	0	363	0	0	0	0	0	0	0	0	67	0	0	0	0	10	0	70	1	274	0	0	0	142	68	11	178	4	286
ASV_10000	280	86	114	934	0	316	259	984	86	54	7	31	13	1169	242	13003	14048	202	16924	13526	132	2686	3635	1607	12215	6342	399	1324	178	4	608	3264	62	935	1464	27	607	543	303	2236	2565	6	28	1401	13	2378	12	7979	2715	3181	13106	10048	975	10380	777	0	0	449	256	3	302	1022	2125	3	1920	166	0	2683	122	884	10	386	0	915	0	14420	4024	39	8367	4267	4	2294	1514	498	828	41	89	2986	229	2422	818	91	1797	598	21	4394	118	74	5159	71	153	2139	211	8	1364	46	603	46	7	0	1813	79	202	783	2302	2156	1030	0	563	199	901	466	1509	158	138	847	215	72	186	213	362	1153	1384	183	1248	315	875	834	911	257	1364	2628	1593	1087	26	664	544	892	316	332	397	302	894	108	191	358	769	24	316	632	70	957	214	249	24	378	303	0	0	36	18	53	152	5033	2929	1952	0	0	0	1151	1976	2000	94	46	8	4558	4431	4522	2335	2326	6441	3128	2636	151	7673	3464	2904	1943	999	3297	0	1949	4242	2816	1039	2086	2967	3483	4367	2435	3602	1879	2630	1805	2237	7744	3128	1282	3105	1745	1475	1	934	653	2780	1035	264	2941	4112	886	1324	1111	1227	612	997	29	1281	882	338	349	71	1792	1489	116	2018	1373	519	1482	801	1165	1789	1334	740	731	1570	357	2013	162	453	1595	4536	521	8107	3299	802	4301	942	147	2385	3463	542	2937	2274	5473	1948	4034	1394	1664	2689	767	2868	5900	954	391	184	5368	3957	1216	1777	5809	851	4514	1883	988	407	927	498	1711	1263	0	1667	1147	1148	1417	949	528	602	74	105	104	4182	265	1657	3202	960	0	241	0	363	5112	451	139	2946	1	164	3302	144	1230	594	895	2420	698	2427	1398	735	4216	1951	160	1182	0	702	4172	3247	52	4067	1706	109	0	961	1658	37	2200	2724	245	353	115	428	764	1036	989	222	269
ASV_10001	28	7	0	268	0	0	12	0	0	1	0	0	0	0	0	730	275	0	3393	0	0	0	0	0	29	0	0	0	1239	534	1034	856	1	185	0	61	425	2	3	497	34	1	0	1273	12	794	0	12	29	8	138	0	0	15	0	0	0	7	0	1	136	70	104	635	2573	465	0	286	10	1786	251	58	0	1017	6	0	130	45	105	143	1	2514	2871	529	1601	156	1414	2291	849	1244	1329	164	391	2	0	15	0	0	354	0	0	45	0	0	124	0	0	0	3	0	1036	67	372	1214	563	125	643	0	89	133	76	734	168	192	12	202	51	24	131	2	421	77	0	3	174	13	96	187	42	0	352	1	93	314	33	61	329	716	5	115	6	0	209	0	0	54	44	0	0	137	0	893	1202	0	0	0	0	0	0	0	0	0	0	108	16	0	0	0	0	0	0	124	0	0	0	57	24	298	26	66	2	35	258	29	193	181	129	79	52	73	0	480	104	530	94	0	21	36	454	587	5	824	802	1	0	187	22	1	360	0	0	0	0	0	2145	0	0	2464	0	0	124	147	328	222	0	15	820	137	7	14	8	299	446	17	464	217	69	447	228	144	1548	498	226	160	13	4	13	1	4	78	8	242	225	0	3	255	1	0	296	63	0	834	3	0	83	9	0	68	0	0	272	657	51	21	127	189	0	0	144	1558	0	333	40	0	111	422	1	389	6	0	57	116	0	9	160	0	290	0	59	0	1577	0	38	145	0	0	0	0	2	593	16	0	237	0	0	65	0	47	0	1447	557	24	4209	728	6	6942	1882	99	163	0	117	1506	703	0	7	32	0	0	1	24	4	174	99	32	136	4	1	134	949	9	135	445
ASV_10002	16	1	0	40	5	11	93	2	6	11	21	0	0	5	0	0	19	6	1964	26	0	1130	0	0	0	0	0	45	1465	1743	315	397	15	167	29	50	251	343	1726	83	22	433	0	761	23	16	404	1	256	385	2	4	0	532	6	0	1	199	858	2	1388	138	203	1281	459	26	21	147	90	402	602	34	122	688	4128	1	157	5	0	721	613	399	413	101	129	30	67	110	0	1338	304	162	193	87	0	2	0	0	0	0	0	53	0	0	10	1	0	0	0	0	262	11	28	167	267	388	1	0	74	88	203	1	87	27	1	0	27	0	11	2	0	34	18	79	0	1	4	40	25	1	272	30	0	386	0	0	43	48	562	424	0	0	63	4	0	0	2	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	0	1119	1271	39	0	0	7	1615	1983	1668	2447	1332	40	7798	11962	6210	4328	1961	3947	2510	1685	130	6145	2339	1846	3172	741	2473	0	3450	2742	444	2073	817	3096	1763	2318	1474	2061	2537	1621	38	0	589	4	0	245	0	0	0	0	0	338	1	0	156	0	0	183	74	125	133	463	0	198	257	99	3	5	576	361	60	189	135	320	226	29	28	275	112	85	420	495	35	788	0	0	60	175	0	167	57	2	821	0	0	380	23	0	111	30	1	36	0	11	0	0	0	169	618	74	70	8	87	0	0	462	655	0	1116	84	0	101	228	0	572	287	0	656	362	11	303	50	1	492	0	387	0	218	0	332	16	0	0	0	0	0	681	0	0	305	0	0	143	1	145	0	433	284	12	1096	332	0	324	758	4	153	0	10	2965	1986	8	219	43	0	0	2	15	44	32	206	459	182	0	10	99	180	7	2	19
ASV_10006	561	894	1534	3084	161	3272	1422	4714	7760	704	2913	719	40	1806	885	41336	39735	13143	49925	22819	13520	3808	14193	7152	34009	15075	5043	7961	25699	2657	17084	27861	12273	13909	10457	2851	15864	12275	3544	19921	21127	2742	111	19371	3763	6544	2539	22488	12189	7861	13270	11533	3858	14660	1399	0	13	4741	8096	12	7335	28732	28268	6531	14074	14603	1030	14555	2955	17438	3441	4643	1564	12036	2440	74528	43228	2252	47301	50480	3103	5123	5223	1009	3240	1420	974	3909	1477	2775	1183	2395	1218	5047	252	2928	931	527	21637	90	444	12029	1222	83	7072	677	1064	96	202	25	6303	3365	2995	5281	7527	4470	4096	0	5120	2821	4567	5391	8649	3157	1811	1690	3683	2317	4223	3726	4396	4070	2625	4146	4004	3367	2835	6012	5108	1209	5180	5402	7876	4754	2687	9275	2979	7563	1730	2869	13819	4366	7343	2230	2351	3252	1818	2456	3265	4535	1319	1555	3221	806	122	536	314	138	4	2	9	40	63	2788	4709	2512	48	4	0	36955	36558	32852	1568	824	1471	24537	19418	12000	15312	10567	10616	16749	13022	1807	22773	11649	13385	13726	3749	12142	0	12791	12797	11658	7477	11005	14103	17196	11076	29052	23775	24726	14298	14014	731	24307	16935	1091	10471	14016	1474	0	678	1733	8973	7088	2589	8568	1778	2156	4858	6383	5037	3060	1930	1796	5268	8554	6496	1013	1175	10318	6961	1425	4839	8895	5639	11580	11335	2508	2914	5540	3777	1873	8503	2339	4060	126	2179	1269	10714	2457	7908	4591	2100	5401	5119	359	8441	23071	363	1833	20184	2177	4410	8981	1913	4375	6874	5205	2981	4876	898	3516	5179	11558	4335	819	7076	9090	588	3967	5557	346	865	3044	632	740	699	0	2703	2977	316	1996	1491	576	11567	396	2708	7823	8432	5844	2051	3911	1378	2	3366	1	2099	5930	1030	1020	6024	2	268	5993	435	5628	514	4420	17004	5412	15876	11441	3655	10010	12562	1885	10771	1	3174	5787	9365	68	4171	7312	488	1	3627	3722	3566	14794	16690	5011	6471	3254	6807	6488	11399	7991	2001	4384
ASV_10007	0	0	0	0	0	0	0	0	0	4	3	0	0	808	132	565	10	5	4	5	1	5	0	9	0	17	0	0	5	0	0	1	0	0	13	0	57	4	0	0	5	0	0	17	0	0	0	7	0	0	150	162	25	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	27	0	70	6	0	92	0	0	0	0	0	2	125	0	599	0	0	49	3	189	101	11	120	71	51	20	8	25	103	1	11	11	33	0	14	4	1	6	32	2	20	0	0	0	0	44	15	0	0	0	0	0	0	0	2	0	0	55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	21	15	11	0	0	0	0	0	0	0	0	0	28	0	0	3	0	0	0	3	0	0	0	28	0	4	1	0	2	58	152	5	11	260	1	225	244	277	214	100	56	0	72	223	0	35	14	0	0	7	0	493	302	0	54	371	0	0	0	0	0	0	45	10	61	0	7	0	7	13	0	0	0	0	83	0	0	0	0	0	0	124	0	39	0	0	0	10	0	0	6	0	9	4	0	26	357	0	0	25	17	0	236	0	0	44	84	446	300	0	0	3	0	0	0	11	78	0	45	0	0	0	4	0	0	2	0	0	2	0	7	2	0	0	0	0	0	86	0	0	2	0	0	0	0	0	942	0	0	2	0	0	5	0	1	0	78	0	0	2	7	0	71	229	0	134	0	6	842	347	0	531	301	0	0	0	5	0	0	0	0	3	0	0	3	0	0	8	30
ASV_10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10011	3	2	0	290	4	0	15	28	136	0	0	0	0	0	3	918	13	69	85	0	1	0	0	1	81	7	2	5	134	1633	1151	387	230	780	212	5	164	12	924	3143	343	876	0	64	0	479	101	85	46	68	81	0	0	233	9	0	49	78	550	1	3014	140	402	5498	343	39	50	7	23	384	78	111	304	1372	1084	437	1004	0	387	122	5	610	1265	535	649	121	109	644	11	595	346	136	212	12	0	0	0	0	461	3	0	26	15	0	31	0	0	0	10	0	545	12	3	182	583	557	67	0	0	39	217	0	228	15	68	0	0	0	33	1	35	275	17	292	6	273	0	165	208	4	337	25	287	644	67	200	292	199	46	86	1646	18	379	0	0	273	61	71	7	79	18	0	2	0	0	0	0	0	0	0	0	0	0	138	0	269	156	0	0	302	25	7	0	41	0	309	564	240	268	166	84	63	141	3	416	123	221	97	20	121	0	114	64	21	182	88	57	1340	236	158	123	221	1011	2	32	3767	1	1	299	0	0	0	0	0	399	187	0	789	0	0	290	167	1044	511	953	46	859	297	108	0	0	277	338	61	469	433	57	212	457	5	61	143	845	18	828	89	883	3	45	495	230	2	1011	13	9	978	0	6	281	12	0	45	707	0	131	0	0	12	6	0	287	764	77	0	0	290	21	0	94	234	0	1264	89	0	236	203	0	2	37	0	111	141	17	1944	2	1	168	37	513	59	1643	159	64	387	4	1	0	0	2	413	1	0	884	0	0	119	0	450	0	874	516	113	4782	1202	51	4143	1936	0	154	0	18	1155	1080	0	97	25	2	0	2	54	210	1218	1118	191	323	53	185	141	320	1	34	86
