"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cast","Bottle","Field_collection_method","Preservation","Area.within.region","Station","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC","Date_local","oxy_concM_ch1","oxy_percentsat_ch1","oxy_conc_ch1","oxy_concM_ch2","oxy_percentsat_ch2","oxy_conc_ch2","salinity_ch1","salinity_ch2","sigma_t_ch1","sigma_t_ch2","chlor_fluorescence","temperature_ch1","temperature_ch2","turbidity","pressure","latitude","longitude","time","profile_id","holder1"
"START.NC.SKQ2021",NA,NA,TRUE,"SKQ2021",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,1000,"Matt Galaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1053.SKQ2021",1,1,FALSE,"SKQ2021","1","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",1000,"Matt Galaska",NA,2021-11-08 22:04:00,"2021-11-08 13:04:00","2.0022","24.839","87.116",NA,NA,NA,"32.96","32.9551",26.4443,26.4405,"0.3365","0.3058","0.3039",NA,"46.131","67.67666666666666","-168.94966666666667","2021-11-08T21:59:39Z","SKQ202115Sc001_btl","001_btl"
"E1054.SKQ2021",1,1,FALSE,"SKQ2021","1","10","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",1000,"Matt Galaska",NA,2021-11-08 22:04:00,"2021-11-08 13:04:00","1.8158","22.684","79.011",NA,NA,NA,"32.8781","32.8753",26.3627,26.3605,"0.4482","0.5968","0.5956",NA,"30.529","67.67666666666666","-168.94966666666667","2021-11-08T21:59:39Z","SKQ202115Sc001_btl","001_btl"
"E1055.SKQ2021",1,1,FALSE,"SKQ2021","1","16","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",1000,"Matt Galaska",NA,2021-11-08 22:04:00,"2021-11-08 13:04:00","7.9506","95.387","346.557",NA,NA,NA,"30.6089","30.6045",24.5754,24.5719,"0.3662","-0.34","-0.3425",NA,"10.304","67.67666666666666","-168.94966666666667","2021-11-08T21:59:39Z","SKQ202115Sc001_btl","001_btl"
"E1056.SKQ2021",1,1,FALSE,"SKQ2021","2","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",1000,"Matt Galaska",NA,2021-11-10 02:39:00,"2021-11-09 17:39:00","6.2981","74.99","274.119",NA,NA,NA,"32.46","32.4604",26.0985,26.0991,"0.1966","-1.1147","-1.1261",NA,"49.348","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl"
"E1057.SKQ2021",1,1,FALSE,"SKQ2021","2","8","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",1000,"Matt Galaska",NA,2021-11-10 02:39:00,"2021-11-09 17:39:00","7.5233","91.819","327.91",NA,NA,NA,"30.7279","30.7226",24.6469,24.6428,"0.3949","0.2772","0.2745",NA,"30.177","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl"
"E1058.SKQ2021",1,1,FALSE,"SKQ2021","2","14","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",1000,"Matt Galaska",NA,2021-11-10 02:39:00,"2021-11-09 17:39:00","7.5784","92.471","330.31",NA,NA,NA,"30.7272","30.7227",24.6467,24.6431,"0.3726","0.2692","0.2665",NA,"9.922","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl"
"E1059.SKQ2021",1,1,FALSE,"SKQ2021","3","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",1000,"Matt Galaska",NA,2021-11-10 04:55:00,"2021-11-09 19:55:00","6.48","77.396","282.047",NA,NA,NA,"32.4094","32.4049",26.0534,26.05,"0.0923","-0.985","-0.9894",NA,"43.305","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl"
"E1060.SKQ2021",1,1,FALSE,"SKQ2021","3","6","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",1000,"Matt Galaska",NA,2021-11-10 04:55:00,"2021-11-09 19:55:00","6.6831","81.643","291.016",NA,NA,NA,"31.9058","31.9097",25.6089,25.6123,"0.0339","-4.0E-4","-0.006",NA,"30.387","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl"
"E1061.SKQ2021",1,1,FALSE,"SKQ2021","3","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",1000,"Matt Galaska",NA,2021-11-10 04:55:00,"2021-11-09 19:55:00","8.0981","98.183","352.974",NA,NA,NA,"30.664","30.6593",24.6053,24.6016,"0.1691","0.043","0.0427",NA,"10.251","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl"
