sample	lat	long	replicate	Site	Depth	bottle	oxy_concM_ch1 (ml/l)	oxy_percentsat_ch1 (percent)	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1	sigma_t_ch2	chlor_fluorescence (ugrams/l)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	turbidity (NTU)	pressure (decibar)	time (UTC)
E1148.DY2206	56.86316667	-164.0318333	E1148	70M6	72	1	8.7851	114.901	382.508	32.2324	32.232	25.7113	25.711	7.5429	2.5735	2.5731	2.1371	NaN	2022-05-11T13:59:00Z
E1149.DY2206	56.86316667	-164.0318333	E1149	70M6	72	4	8.8655	116.045	386.01	32.2314	32.2309	25.708	25.7076	5.2776	2.6055	2.605	0.6942	NaN	2022-05-11T13:59:00Z
E1150.DY2206	56.86316667	-164.0318333	E1150	70M6	72	7	10.1528	133.418	442.099	32.1363	32.1362	25.6172	25.6172	9.2872	2.7888	2.7883	0.7226	NaN	2022-05-11T13:59:00Z
E1151.DY2206	56.94066667	-163.837	E1151	M2E	69	1	8.5303	110.962	371.41	32.2195	32.2194	25.7177	25.7177	7.0084	2.3595	2.3594	1.8307	64.757	2022-05-12T07:41:00Z
E1152.DY2206	56.94066667	-163.837	E1152	M2E	69	4	9.1988	119.244	400.54	32.1413	32.1445	25.6641	25.6662	5.1014	2.2429	2.2478	0.6922	30.851	2022-05-12T07:41:00Z
E1153.DY2206	56.94066667	-163.837	E1153	M2E	69	7	9.9477	129.067	433.22	31.938	31.9375	25.4946	25.4942	6.2778	2.3338	2.3333	0.4612	3.939	2022-05-12T07:41:00Z
E1154.DY2206	56.85933333	-164.0563333	E1154	M2	72	1	8.6747	113.423	377.699	32.2331	32.2327	25.7128	25.7125	7.1378	2.5614	2.5613	1.8438	67.508	2022-05-12T21:46:00Z
E1155.DY2206	56.85933333	-164.0563333	E1155	M2	72	4	8.7195	114.008	379.652	32.2334	32.2331	25.7132	25.7129	5.4298	2.5605	2.5602	0.6375	30.463	2022-05-12T21:46:00Z
E1156.DY2206	56.85933333	-164.0563333	E1156	M2	72	7	10.0705	131.086	438.553	31.997	31.9966	25.5331	25.5328	3.2385	2.4472	2.4472	0.6583	3.225	2022-05-12T21:46:00Z
E1158.DY2206	57.43016667	-166.8173333	E1158	70M12	70	1	8.7877	109.006	382.63	32.035	32.0341	25.6865	25.6857	5.8504	0.5499	0.5499	0.7892	66.605	2022-05-13T11:26:00Z
E1159.DY2206	57.43016667	-166.8173333	E1159	70M12	70	4	10.1075	126.259	440.139	31.9297	31.9291	25.5856	25.5852	3.4591	0.8486	0.8483	0.2439	30.715	2022-05-13T11:26:00Z
E1160.DY2206	57.43016667	-166.8173333	E1160	70M12	70	7	10.5922	133.468	461.284	31.8506	31.8498	25.5012	25.5006	1.811	1.2066	1.2067	0.3943	3.35	2022-05-13T11:26:00Z
E1161.DY2206	54.40716667	-165.1421667	E1161	UBS2	133.5	1	7.0836	96.139	308.372	32.5987	32.5986	25.879	25.879	0.2294	3.972	3.9716	0.2375	130.158	2022-05-15T06:00:00Z
E1162.DY2206	54.40716667	-165.1421667	E1162	UBS2	133.5	4	8.1889	111.536	356.633	32.1175	32.1166	25.4689	25.4682	4.3883	4.2518	4.2518	0.5571	30.332	2022-05-15T06:00:00Z
E1163.DY2206	54.40716667	-165.1421667	E1163	UBS2	133.5	7	8.6524	117.992	376.891	31.8821	31.8819	25.2704	25.2703	5.2512	4.3674	4.3671	0.3626	4.155	2022-05-15T06:00:00Z
E1164.DY2206	57.86716667	-168.8865	E1164	M4C	71	1	9.8076	119.145	427.14	31.6875	31.6871	25.4392	25.4389	5.526	-0.1543	-0.1545	0.9146	67.078	2022-05-17T00:58:00Z
E1165.DY2206	57.86716667	-168.8865	E1165	M4C	71	4	9.8506	119.696	429.016	31.6865	31.6859	25.4381	25.4375	4.7107	-0.1451	-0.145	0.5252	30.837	2022-05-17T00:58:00Z
E1166.DY2206	57.86716667	-168.8865	E1166	M4C	71	7	9.9469	121.015	433.21	31.6832	31.6827	25.4334	25.433	1.9931	-0.0976	-0.0978	0.5413	3.452	2022-05-17T00:58:00Z
E1167.DY2206	59.91133333	-171.732	E1167	M5C	70	1	9.1757	109.7	399.529	31.9483	31.9475	25.6749	25.6743	8.9872	-0.8265	-0.827	1.2657	65.501	2022-05-17T21:56:00Z
E1168.DY2206	59.91133333	-171.732	E1168	M5C	70	4	9.9076	119.649	431.41	31.925	31.9241	25.6425	25.6417	8.2554	-0.4416	-0.4414	0.7895	30.471	2022-05-17T21:56:00Z
E1169.DY2206	59.91133333	-171.732	E1169	M5C	70	7	10.6693	130.204	464.594	31.9066	31.9061	25.6113	25.6108	2.3131	-0.0402	-0.0394	0.6146	2.974	2022-05-17T21:56:00Z
