ASV	percent	length	taxid	accession	correction
ASV_1	100	324	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	324
ASV_10	92.192	333	2805718	MW521824	306.99936
ASV_100	98.187	331	2912879	OM415986	324.99897
ASV_1000	99.34	303	1955568	MN795593	301.0002
ASV_10000	98.788	330	88552	MK368217, MK368204	326.0004
ASV_10001	95.758	330	2691108	MN860281	316.0014
ASV_10002	95.796	333	629762	FJ824128	319.00068
ASV_10003	94.817	328	1401203, 1401202, 1401200, 1401197, 1401194, 1401185, 1401174, 1401171, 1401167, 145482	AB854039, AB854038, AB854036, AB854033, AB854030, AB854021, AB854010, AB854007, AB854003, AB052289	310.99976
ASV_10004	98.193	332	151027	KY979984	326.00076
ASV_10005	85.373	335	1367455	KC779511	285.99955
ASV_10006	98.489	331	232288	KY980049, AJ564773	325.99859
ASV_10007	96.951	328	319734	DQ279933, AY859539	317.99928
ASV_10008	93.921	329	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	KR998403, KR998402, KR998400, KF422629, KF422625, MZ611728, AB430618, AB546639, AF167155, AF167154, AF167153	309.00009
ASV_10009	94.225	329	1043734	HM536153	310.00025
ASV_1001	97.231	325	2586223, 938103	MK370171, HQ008730	316.00075
ASV_10010	97.289	332	1010426	JF488773	322.99948
ASV_10011	98.466	326	98070	AF123302	320.99916
ASV_10012	97.078	308	551278, 318481	FM202059, NR_115329	299.00024
ASV_10013	97.605	334	361426	DQ303923, DQ303922	326.0007
ASV_10014	94.352	301	33658	MT471327	283.99952
ASV_10015	98.176	329	156128, 41886	PQ587458, OR922706, OR922669, JN934688, AY425306, AB158376, AB058391, X75565	322.99904
ASV_10016	97.583	331	88552	MK368334, MK368202	322.99973
ASV_10017	82.972	323	1629645	LC034108	267.99956
ASV_10018	99.697	330	1453603	KF915810	329.0001
ASV_10019	98.182	330	1545445	KM516201	324.0006
ASV_1002	91.265	332	88552	MK368364	302.9998
ASV_10020	95.137	329	88552	MK368364	313.00073
ASV_10021	78.698	338	448035, 246119, 246117	EF460465, AY307396, AY307395, AY307393, AY307391, AY307390	265.99924
ASV_10022	97.576	330	1035524	JF794054	322.0008
ASV_10023	96.073	331	91992	AF167154	318.00163
ASV_10024	96.979	331	88552	MK367943, MK367858	321.00049
ASV_10025	99.392	329	172717, 1411662, 91992	KR998400, KF422629, MZ611728, AB430618, AF167155, AF167153	326.99968
ASV_10026	100	324	1144756	JN712657	324
ASV_10027	79.139	302	381795	AM260713	238.99978
ASV_10028	99.091	330	1010471	JF488811	327.0003
ASV_10029	84.498	329	333133	AF280076	277.99842
ASV_1003	79.734	301	947098	HQ876006	239.99934
ASV_10030	91.566	332	1453980	KF791347	303.99912
ASV_10031	87.375	301	3159519, 412158, 407208	LC819365, LC819360, LC819357, LC819355	262.99875
ASV_10032	98.154	325	524917	EU503535	319.0005
ASV_10033	99.094	331	41457	KY054992, LC814785, PP777237, PP777232, KT861021, AB948148, MW541633, AY684958, AY684957, AY684955, AY684954, AY684951, AY684950, X85393, X85394	328.00114
ASV_10034	99.388	327	1010434, 1010425	JF488779, JF488772	324.99876
ASV_10035	86.446	332	627965, 672125, 663693, 627967, 627964, 627968, 370103	FJ799797, FJ821481, GQ354272, FJ799798, FJ799796, FJ799795, DQ367048	287.00072
ASV_10036	95.077	325	2022002	MF527277	309.00025
ASV_10037	97.281	331	88552	MK368150, MK368095	322.00011
ASV_10038	99.689	322	1169001, 1050084, 1169003;1967941, 1169003, 1169000	OR844558, KU715771, JN831848, JN831847, JN831834, JN831833, JN831824, JN831823	320.99858
ASV_10039	98.765	324	296588, 38833, 1848831, 1848830, 1848828, 1848823	MT117944, KY980302, LC806253, LC806252, LC806251, KU244673, KU244671, KU244667, KU244665, KU244657, KU244636, OR286799, KT860903, KT860901, KT860900, KT860899, KT860894, KT860891, KT860843, KR089060, ON888455, ON888454, ON888450, ON888447, ON888444, OM688905, OM688904, OM688902, OM688900, OM688895, OM688894, OM688872, OM688866, KF501032, KF501027, KF501026, KF501021, KF501016, KF501015, JN934683, JF794057, FN562452, AY425316, DQ025753, AY955000, AY954999, AY954996, AY954995	319.9986
ASV_1004	99.388	327	60595	OR921514	324.99876
ASV_1005	99.695	328	1181720	ON783211, JQ582669	326.9996
ASV_10052	95.092	326	2302895;2302896, 2302894, 2302887, 3085199, 2812594, 3075321, 1764240, 1764237;1764239, 464278, 1522444, 284968, 156122;284971	MH792095, MH792094, MH792087, OR736067, OR922729, OR922716, OR922714, OR922665, LC779588, KT860896, KT860889, KT860842, KM087974, AB183583, AB058312	309.99992
ASV_1006	96.096	333	629762	FJ824128	319.99968
ASV_10065	99.696	329	1519423	KJ481826	327.99984
ASV_1007	99.694	327	2597375, 397580	MN296517, DQ790097	325.99938
ASV_10071	96.626	326	1607871	KP260513	315.00076
ASV_1008	100	329	363325	JX473667, FJ228701, DQ317537, DQ317536	329
ASV_10084	99.083	327	244962	KY980158, KY980142, KY980131, KY980115, KY980106, KY980103, KY980084, KY980079, OR921510	324.00141
ASV_10087	99.068	322	1720109, 1891234, 1176367, 1176324, 1176325, 513285, 1176449, 626735	KY290318, KU715763, KT792929, JQ408202, JQ408188, JQ408179, JQ408174, JQ408172, JQ408170, JQ408167, JQ408166, JQ408154, FJ196074	318.99896
ASV_1009	100	331	2912989	OM403114	331
ASV_10090	96.914	324	1918384	OR921468	314.00136
ASV_10098	96.364	330	2676190, 89963	LC490696, KY980322	318.0012
